,0,1,2,3,4,5,6,7,8
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,1,"LeBron James, SF",CLE,74,37.8,6.49,1.93,8.42,20.43
2,2,"Stephen Curry, PG",GS,79,33.4,7.27,0.14,7.41,18.80
3,3,"Jimmy Butler, SG",CHI,76,37.0,4.82,1.80,6.62,17.35
4,4,"Russell Westbrook, PG",OKC,81,34.6,6.74,-0.47,6.27,17.34
5,5,"Draymond Green, PF",GS,76,32.5,1.55,5.59,7.14,16.84
6,6,"Rudy Gobert, C",UTAH,81,33.9,0.35,6.02,6.37,15.55
7,7,"James Harden, PG",HOU,81,36.4,6.38,-1.57,4.81,15.54
8,8,"Kawhi Leonard, SF",SA,74,33.4,5.83,1.25,7.08,15.53
9,9,"Chris Paul, PG",LAC,61,31.5,5.16,2.76,7.92,13.48
10,10,"Nikola Jokic, C",DEN,73,27.9,4.44,2.29,6.73,13.18
11,11,"Giannis Antetokounmpo, PF",MIL,80,35.6,2.35,1.86,4.21,13.00
12,12,"Anthony Davis, PF",NO,75,36.1,0.45,3.90,4.35,12.81
13,13,"Kyle Lowry, PG",TOR,60,37.4,4.70,1.18,5.88,12.67
14,14,"DeAndre Jordan, C",LAC,81,31.7,1.11,3.44,4.55,12.59
15,15,"Kevin Durant, SF",GS,62,33.4,4.41,1.33,5.74,12.24
16,16,"Paul Millsap, PF",ATL,69,34.0,1.23,3.35,4.58,11.51
17,17,"DeMarcus Cousins, C",NO/SAC,72,34.2,3.56,0.64,4.20,11.26
18,18,"Otto Porter Jr., SF",WSH,80,32.6,3.12,0.44,3.56,11.21
19,19,"Damian Lillard, PG",POR,75,35.9,4.63,-1.49,3.14,10.72
20,20,"Jae Crowder, PF",BOS,72,32.4,2.20,1.69,3.89,10.52
21,21,"Mike Conley, PG",MEM,69,33.2,4.67,-0.20,4.47,10.50
22,22,"Karl-Anthony Towns, C",MIN,82,37.0,3.54,-1.41,2.13,10.00
23,23,"Kemba Walker, PG",CHA,79,34.7,3.93,-1.25,2.68,9.95
24,24,"John Wall, PG",WSH,78,36.4,3.52,-1.26,2.26,9.90
25,25,"Kevin Love, C",CLE,60,31.4,2.77,2.26,5.03,9.76
26,26,"Gorgui Dieng, C",MIN,82,32.4,-0.80,3.52,2.72,9.73
27,27,"Paul George, SF",IND,75,35.9,2.67,-0.09,2.58,9.72
28,28,"Klay Thompson, SG",GS,78,34.0,2.78,-0.45,2.33,9.53
29,29,"Gordon Hayward, SF",UTAH,73,34.5,3.14,-0.08,3.06,9.45
30,30,"Myles Turner, C",IND,81,31.4,0.09,2.57,2.66,9.31
31,31,"Trevor Ariza, SF",HOU,80,34.7,0.86,1.07,1.93,9.29
32,32,"Bradley Beal, SG",WSH,77,34.9,3.29,-1.04,2.25,9.26
33,33,"Robert Covington, SF",PHI,67,31.6,-0.77,4.32,3.55,9.23
