,0,1,2,3,4,5,6,7,8
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,1,"Draymond Green, PF",GS,81,34.7,3.93,5.04,8.97,22.66
2,2,"LeBron James, SF",CLE,76,35.6,6.49,3.30,9.79,21.55
3,3,"Stephen Curry, PG",GS,79,34.2,7.65,0.86,8.51,21.10
4,4,"Russell Westbrook, PG",OKC,80,34.4,7.25,0.60,7.85,19.53
5,5,"Chris Paul, PG",LAC,74,32.7,6.15,2.44,8.59,18.12
6,6,"Kyle Lowry, PG",TOR,77,37.0,5.12,1.70,6.82,17.34
7,7,"Kawhi Leonard, SF",SA,72,33.1,4.19,3.88,8.07,16.74
8,8,"Kevin Durant, SF",OKC,72,35.8,5.51,0.97,6.48,16.00
9,9,"James Harden, PG",HOU,82,38.1,5.37,-0.98,4.39,15.07
10,10,"Paul George, SF",IND,81,34.8,3.35,1.58,4.93,14.66
11,11,"Paul Millsap, PF",ATL,81,32.7,1.98,3.26,5.24,14.05
12,12,"Kevin Love, C",CLE,77,31.5,3.17,2.14,5.31,12.52
13,13,"DeAndre Jordan, C",LAC,77,33.7,0.35,4.07,4.42,12.47
14,14,"Khris Middleton, SF",MIL,79,36.1,3.13,0.63,3.76,12.27
15,15,"DeMarcus Cousins, C",SAC,65,34.6,1.58,3.25,4.83,12.03
16,16,"Jimmy Butler, SG",CHI,67,36.9,3.12,0.89,4.01,11.06
17,17,"Ricky Rubio, PG",MIN,76,30.6,2.25,1.89,4.14,10.72
18,18,"John Wall, PG",WSH,77,36.2,2.60,0.12,2.72,10.62
19,19,"Gordon Hayward, SF",UTAH,80,36.2,2.92,-0.02,2.90,10.50
20,20,"Kemba Walker, PG",CHA,81,35.6,2.93,-0.35,2.58,10.38
21,21,"Andre Drummond, C",DET,81,32.9,-0.19,3.16,2.97,10.20
22,22,"Al Horford, PF",ATL,82,32.1,0.89,2.08,2.97,10.09
23,23,"Pau Gasol, C",CHI,72,31.8,0.65,3.07,3.72,9.96
24,24,"Nikola Jokic, C",DEN,80,21.7,2.42,3.61,6.03,9.88
25,25,"CJ McCollum, SG",POR,80,34.8,2.20,0.05,2.25,9.54
26,26,"Jae Crowder, PF",BOS,73,31.6,1.21,1.79,3.00,9.28
27,27,"Brook Lopez, C",BKN,73,33.7,0.47,2.18,2.65,9.00
28,28,"Klay Thompson, SG",GS,80,33.3,2.38,-0.61,1.77,8.70
29,29,"Victor Oladipo, SG",ORL,72,33.0,1.80,0.79,2.59,8.65
30,30,"Marvin Williams, PF",CHA,81,28.9,2.08,0.59,2.67,8.51
31,31,"Carmelo Anthony, PF",NY,72,35.1,2.97,-0.73,2.24,8.40
32,32,"Dirk Nowitzki, C",DAL,75,31.5,2.14,0.56,2.70,8.36
33,33,"Danny Green, SG",SA,79,26.1,0.32,2.93,3.25,8.18
34,34,"Marcus Morris, PF",DET,80,35.7,0.85,0.51,1.36,8.05
35,35,"Gorgui Dieng, C",MIN,82,27.1,0.03,2.54,2.57,7.98
36,36,"Kentavious Caldwell-Pope, SG",DET,76,36.7,0.85,0.52,1.37,7.88
37,37,"Goran Dragic, PG",MIA,72,32.8,1.42,0.70,2.12,7.73
38,38,"Tim Duncan, C",SA,61,25.2,-0.48,5.43,4.95,7.69
39,39,"Damian Lillard, PG",POR,75,35.7,4.47,-3.16,1.31,7.65
40,40,"Isaiah Thomas, PG",BOS,82,32.2,3.13,-1.89,1.24,7.58
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,41,"Luol Deng, SF",MIA,74,32.4,1.20,0.69,1.89,7.52
2,42,"LaMarcus Aldridge, PF",SA,74,30.6,0.66,1.49,2.15,7.46
3,43,"Giannis Antetokounmpo, PF",MIL,80,35.3,0.84,0.27,1.11,7.46
4,44,"Mason Plumlee, C",POR,82,25.4,0.32,2.11,2.43,7.45
5,45,"Al-Farouq Aminu, PF",POR,82,28.5,0.11,1.62,1.73,7.34
6,46,"Kyle Korver, SG",ATL,80,30.0,-0.13,1.82,1.69,7.31
7,47,"Jared Sullinger, C",BOS,81,23.6,0.27,2.48,2.75,7.29
8,48,"Marcin Gortat, C",WSH,75,30.1,-0.83,2.65,1.82,7.26
9,49,"Patrick Beverley, PG",HOU,71,28.7,1.37,1.01,2.38,7.15
10,50,"Amir Johnson, C",BOS,79,22.8,0.12,2.83,2.95,7.11
11,51,"Kristaps Porzingis, PF",NY,72,28.4,0.24,2.26,2.50,7.09
12,52,"Steven Adams, C",OKC,80,25.2,-0.42,2.77,2.35,7.05
13,53,"Anthony Davis, PF",NO,61,35.5,0.10,1.82,1.92,7.03
14,54,"Reggie Jackson, PG",DET,79,30.7,3.27,-1.82,1.45,7.00
15,55,"Otto Porter Jr., SF",WSH,75,30.3,0.34,1.17,1.51,6.91
16,56,"Jared Dudley, SF",WSH,81,25.9,1.09,0.78,1.87,6.82
17,57,"Nicolas Batum, SG",CHA,70,35.0,1.51,-0.29,1.22,6.75
18,58,"Trevor Ariza, SF",HOU,81,35.3,1.22,-0.65,0.57,6.72
19,59,"George Hill, PG",IND,74,34.1,0.63,0.34,0.97,6.58
20,60,"Karl-Anthony Towns, C",MIN,82,32.0,1.03,-0.22,0.81,6.56
21,61,"Monta Ellis, SG",IND,81,33.8,0.14,0.44,0.58,6.54
22,62,"Rodney Hood, SG",UTAH,79,32.2,2.21,-0.98,1.23,6.51
23,63,"JR Smith, SG",CLE,77,30.7,2.56,-1.22,1.34,6.49
24,64,"Serge Ibaka, PF",OKC,78,32.1,0.03,0.86,0.89,6.48
25,65,"Mike Conley, PG",MEM,56,31.4,2.78,0.08,2.86,6.36
26,66,"Tristan Thompson, C",CLE,82,27.7,0.13,1.24,1.37,6.30
27,67,"Joe Johnson, SG",MIA/BKN,81,33.4,0.80,-0.24,0.56,6.29
28,68,"Rudy Gobert, C",UTAH,61,31.7,-1.55,3.89,2.34,6.29
29,69,"Patrick Patterson, PF",TOR,79,25.6,2.19,-0.16,2.03,6.24
30,70,"Ian Mahinmi, C",IND,71,25.6,-2.33,4.37,2.04,6.09
31,71,"Ed Davis, PF",POR,81,20.8,-0.02,2.62,2.60,6.05
32,72,"Andrew Bogut, C",GS,70,20.7,-2.24,5.45,3.21,6.03
33,73,"Wesley Matthews, SG",DAL,78,33.9,1.95,-1.35,0.60,5.97
34,74,"Hassan Whiteside, C",MIA,73,29.1,-1.51,2.94,1.43,5.96
35,75,"Thaddeus Young, PF",BKN,73,33.0,-0.48,1.24,0.76,5.93
36,76,"Tobias Harris, SF",DET/ORL,76,33.1,-0.25,0.86,0.61,5.88
37,77,"Robert Covington, SF",PHI,67,28.4,-0.49,2.09,1.60,5.84
38,78,"Rajon Rondo, PG",SAC,72,35.2,0.89,-0.59,0.30,5.83
39,79,"Derrick Favors, PF",UTAH,62,32.0,-0.13,1.80,1.67,5.71
40,80,"Cody Zeller, C",CHA,73,24.3,-0.31,2.26,1.95,5.69
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,81,"Zaza Pachulia, C",DAL,76,26.4,-1.04,2.59,1.55,5.68
2,82,"Danilo Gallinari, SF",DEN,53,34.7,1.88,-0.16,1.72,5.64
3,83,"Chris Bosh, PF",MIA,53,33.5,0.87,1.19,2.06,5.63
4,84,"Jrue Holiday, PG",NO,65,28.2,2.57,-0.94,1.63,5.62
5,85,"Greg Monroe, C",MIL,79,29.3,0.53,0.18,0.71,5.53
6,86,"Andre Iguodala, SF",GS,65,26.6,1.08,0.61,1.69,5.44
7,87,"Kelly Olynyk, PF",BOS,69,20.2,0.69,2.13,2.82,5.44
