,0,1,2,3,4,5,6,7,8
33,73,"DeAndre Jordan, C",LAC,77,31.5,-0.65,1.31,0.66,5.93
34,74,"Taj Gibson, PF",MIN,82,33.3,-0.31,0.58,0.27,5.87
35,75,"Terry Rozier, PG",BOS,80,25.9,1.24,0.10,1.34,5.80
36,76,"Jamal Murray, PG",DEN,81,31.7,2.64,-2.29,0.35,5.60
37,77,"Jeff Teague, PG",MIN,70,33.0,1.39,-0.75,0.64,5.59
38,78,"Larry Nance Jr., PF",CLE/LAL,66,21.5,-0.28,3.00,2.72,5.47
39,79,"James Johnson, PF",MIA,73,26.6,-0.02,1.34,1.32,5.43
40,80,"Kristaps Porzingis, PF",NY,48,32.4,0.21,2.14,2.35,5.38
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,81,"Dario Saric, PF",PHI,78,29.6,1.07,-0.66,0.41,5.37
2,82,"Goran Dragic, PG",MIA,75,31.7,1.25,-0.87,0.38,5.27
3,83,"Dejounte Murray, PG",SA,81,21.5,-1.92,3.60,1.68,5.27
4,84,"Jeremy Lamb, SG",CHA,80,24.6,1.63,-0.59,1.04,5.21
5,85,"Julius Randle, PF",LAL,82,26.7,0.71,-0.18,0.53,5.21
6,86,"CJ McCollum, SG",POR,81,36.1,1.72,-2.03,-0.31,5.20
7,87,"Tomas Satoransky, SG",WSH,73,22.5,1.38,0.50,1.88,5.18
8,88,"JJ Redick, SG",PHI,70,30.2,2.53,-1.96,0.57,5.17
9,89,"Serge Ibaka, PF",TOR,76,27.5,-0.35,0.91,0.56,5.03
10,90,"Pascal Siakam, PF",TOR,81,20.7,0.44,1.09,1.53,4.94
11,91,"Derrick Favors, PF",UTAH,77,28.0,-0.45,0.95,0.50,4.92
12,92,"Tim Hardaway Jr., SF",NY,57,33.1,1.34,-0.46,0.88,4.92
13,93,"Lonzo Ball, PG",LAL,52,34.2,-1.22,2.27,1.05,4.90
14,94,"Kent Bazemore, SG",ATL,65,27.5,0.21,0.88,1.09,4.84
15,95,"Aaron Gordon, PF",ORL,58,32.9,0.28,0.45,0.73,4.82
16,96,"Pau Gasol, C",SA,77,23.5,-1.08,2.10,1.02,4.74
17,97,"John Henson, C",MIL,76,25.9,-1.75,2.35,0.60,4.67
18,98,"Jonas Valanciunas, C",TOR,77,22.4,-0.08,1.13,1.05,4.66
19,99,"Andre Iguodala, SF",GS,64,25.4,-1.01,2.23,1.22,4.60
20,100,"Kyle O'Quinn, C",NY,77,18.0,-0.06,1.93,1.87,4.38
21,101,"Delon Wright, PG",TOR,69,20.8,1.05,0.66,1.71,4.35
22,102,"George Hill, PG",CLE/SAC,67,27.0,0.79,-0.16,0.63,4.28
23,103,"Anthony Tolliver, PF",DET,79,22.2,1.27,-0.54,0.73,4.27
24,104,"Marcus Smart, PG",BOS,54,29.9,-0.65,1.61,0.96,4.19
25,105,"Luc Mbah a Moute, PF",HOU,61,25.6,-0.87,1.85,0.98,4.03
