,0,1,2,3
23,61,"Tim Hardaway Jr., SF",New York Knicks,"$16,500,000"
24,62,"Draymond Green, PF",Golden State Warriors,"$16,400,000"
25,63,"Tristan Thompson, C",Cleveland Cavaliers,"$16,400,000"
26,64,"Pau Gasol, C",San Antonio Spurs,"$16,000,000"
27,65,"Reggie Jackson, PG",Detroit Pistons,"$16,000,000"
28,66,"Dennis Schroder, PG",Atlanta Hawks,"$15,500,000"
29,67,"Jonas Valanciunas, C",Toronto Raptors,"$15,460,675"
30,68,"Tony Parker, PG",San Antonio Spurs,"$15,453,126"
31,69,"Timofey Mozgov, C",Brooklyn Nets,"$15,280,000"
32,70,"Thaddeus Young, PF",Indiana Pacers,"$14,996,348"
33,RK,NAME,TEAM,SALARY
34,71,"Andre Iguodala, SF",Golden State Warriors,"$14,814,815"
35,72,"DeMarre Carroll, SF",Brooklyn Nets,"$14,800,000"
36,73,"Eric Bledsoe, PG",Phoenix Suns,"$14,500,000"
37,74,"Ricky Rubio, PG",Utah Jazz,"$14,275,000"
38,75,"Joe Ingles, SF",Utah Jazz,"$14,136,364"
39,76,"Gorgui Dieng, C",Minnesota Timberwolves,"$14,112,360"
40,77,"Khris Middleton, SF",Milwaukee Bucks,"$14,100,000"
41,78,"Mason Plumlee, C",Denver Nuggets,"$14,041,096"
42,79,"Taj Gibson, PF",Minnesota Timberwolves,"$14,000,000"
43,80,"Robin Lopez, C",Chicago Bulls,"$13,788,500"
0,RK,NAME,TEAM,SALARY
1,81,"JR Smith, SG",Cleveland Cavaliers,"$13,760,000"
2,82,"James Johnson, PF",Miami Heat,"$13,734,000"
3,83,"Brandon Knight, PG",Phoenix Suns,"$13,618,750"
4,84,"Marvin Williams, PF",Charlotte Hornets,"$13,168,750"
5,85,"Michael Kidd-Gilchrist, SF",Charlotte Hornets,"$13,000,000"
6,86,"Tyson Chandler, C",Phoenix Suns,"$13,000,000"
7,87,"Eric Gordon, SG",Houston Rockets,"$12,943,020"
8,88,"Kenneth Faried, PF",Denver Nuggets,"$12,921,348"
9,89,"Marcin Gortat, C",Washington Wizards,"$12,782,609"
10,90,"Cody Zeller, C",Charlotte Hornets,"$12,584,270"
11,RK,NAME,TEAM,SALARY
12,91,"Nikola Mirotic, PF",Chicago Bulls,"$12,500,000"
13,92,"Miles Plumlee, C",Atlanta Hawks,"$12,500,000"
14,93,"Zach Randolph, PF",Sacramento Kings,"$12,307,692"
15,94,"Nikola Vucevic, C",Orlando Magic,"$12,250,000"
16,95,"Solomon Hill, SF",New Orleans Pelicans,"$12,236,535"
17,96,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
18,97,"Wilson Chandler, SF",Denver Nuggets,"$12,016,854"
19,98,"Kemba Walker, PG",Charlotte Hornets,"$12,000,000"
20,99,"Derrick Favors, PF",Utah Jazz,"$12,000,000"
21,100,"Jeremy Lin, PG",Brooklyn Nets,"$12,000,000"
22,RK,NAME,TEAM,SALARY
23,101,"Austin Rivers, PG",LA Clippers,"$11,825,000"
24,102,"Courtney Lee, SG",New York Knicks,"$11,747,890"
25,103,"Jordan Clarkson, PG",Los Angeles Lakers,"$11,562,500"
26,104,"John Henson, C",Milwaukee Bucks,"$11,422,536"
27,105,"Monta Ellis, SG",Indiana Pacers,"$11,227,000"
28,106,"Amir Johnson, C",Philadelphia 76ers,"$11,000,000"
29,107,"Dion Waiters, SG",Miami Heat,"$11,000,000"
30,108,"Alec Burks, SG",Utah Jazz,"$10,845,506"
31,109,"Patty Mills, PG",San Antonio Spurs,"$10,714,286"
32,110,"Kelly Olynyk, PF",Miami Heat,"$10,607,169"
33,RK,NAME,TEAM,SALARY
34,111,"Omer Asik, C",Chicago Bulls,"$10,595,505"
35,112,"Terrence Ross, SG",Orlando Magic,"$10,500,000"
36,113,"Mirza Teletovic, PF",Milwaukee Bucks,"$10,500,000"
37,114,"Bojan Bogdanovic, SF",Indiana Pacers,"$10,500,000"
38,115,"Jon Leuer, PF",Detroit Pistons,"$10,497,319"
39,116,"Iman Shumpert, SG",Cleveland Cavaliers,"$10,337,079"
40,117,"Maurice Harkless, SF",Portland Trail Blazers,"$10,162,922"
41,118,"Danny Green, SG",San Antonio Spurs,"$10,000,000"
42,119,"Jared Dudley, SF",Phoenix Suns,"$10,000,000"
43,120,"Darren Collison, PG",Indiana Pacers,"$10,000,000"
0,RK,NAME,TEAM,SALARY
1,121,"Meyers Leonard, C",Portland Trail Blazers,"$9,904,495"
2,122,"Tony Snell, SG",Milwaukee Bucks,"$9,887,640"
3,123,"Al Jefferson, C",Indiana Pacers,"$9,769,821"
4,124,"Matthew Dellavedova, PG",Milwaukee Bucks,"$9,607,500"
5,125,"Bogdan Bogdanovic, SG",Sacramento Kings,"$9,412,280"
6,126,"Andre Roberson, SG",Oklahoma City Thunder,"$9,259,260"
7,127,"Trevor Booker, PF",Philadelphia 76ers,"$9,125,000"
8,128,"Dwight Powell, C",Dallas Mavericks,"$9,003,125"
9,129,"Gerald Henderson, SG",Philadelphia 76ers,"$9,000,000"
10,130,"Jerryd Bayless, PG",Philadelphia 76ers,"$9,000,000"
11,RK,NAME,TEAM,SALARY
12,131,"Avery Bradley, SG",LA Clippers,"$8,808,989"
13,132,"JaMychal Green, PF",Memphis Grizzlies,"$8,533,333"
14,133,"E'Twaun Moore, SF",New Orleans Pelicans,"$8,445,024"
15,134,"Rudy Gay, SF",San Antonio Spurs,"$8,406,000"
16,135,"Kosta Koufos, C",Sacramento Kings,"$8,393,000"
17,136,"Markieff Morris, PF",Washington Wizards,"$8,000,000"
18,137,"Garrett Temple, SF",Sacramento Kings,"$8,000,000"
19,138,"Vince Carter, SG",Sacramento Kings,"$8,000,000"
20,139,"Yi Jianlian, SF",Los Angeles Lakers,"$8,000,000"
21,140,"CJ Miles, SF",Toronto Raptors,"$7,936,509"
22,RK,NAME,TEAM,SALARY
23,141,"Cristiano Felicio, C",Chicago Bulls,"$7,833,500"
24,142,"Shaun Livingston, PG",Golden State Warriors,"$7,692,308"
25,143,"Cory Joseph, PG",Indiana Pacers,"$7,630,000"
26,144,"PJ Tucker, SF",Houston Rockets,"$7,590,035"
27,145,"Corey Brewer, SF",Oklahoma City Thunder,"$7,579,366"
28,146,"Andrew Wiggins, SF",Minnesota Timberwolves,"$7,574,323"
29,147,"Boris Diaw, C",Utah Jazz,"$7,500,000"
30,148,"Darrell Arthur, PF",Denver Nuggets,"$7,464,912"
31,149,"Channing Frye, PF",Los Angeles Lakers,"$7,420,912"
32,150,"Trevor Ariza, SF",Houston Rockets,"$7,420,912"
33,RK,NAME,TEAM,SALARY
34,151,"Festus Ezeli, C",Portland Trail Blazers,"$7,400,000"
35,152,"Al-Farouq Aminu, PF",Portland Trail Blazers,"$7,319,035"
36,153,"Cole Aldrich, C",Minnesota Timberwolves,"$7,300,000"
37,154,"D.J. Augustin, PG",Orlando Magic,"$7,250,000"
38,155,"Markelle Fultz, PG",Philadelphia 76ers,"$7,026,240"
39,156,"Lou Williams, SG",LA Clippers,"$7,000,000"
40,157,"Jeremy Lamb, SG",Charlotte Hornets,"$7,000,000"
41,158,"Rodney Stuckey, PG",Indiana Pacers,"$7,000,000"
42,159,"Kyle Korver, SG",Cleveland Cavaliers,"$7,000,000"
43,160,"Jae Crowder, PF",Utah Jazz,"$6,796,117"
0,RK,NAME,TEAM,SALARY
1,161,"Jabari Parker, PF",Milwaukee Bucks,"$6,782,392"
2,162,"Langston Galloway, SG",Detroit Pistons,"$6,666,667"
3,163,"Lance Thomas, SF",New York Knicks,"$6,655,325"
4,164,"Carl Landry, PF",Philadelphia 76ers,"$6,500,000"
5,165,"Tim Duncan, C",San Antonio Spurs,"$6,393,750"
6,166,"Andrew Nicholson, PF",Portland Trail Blazers,"$6,362,998"
7,167,"Ed Davis, PF",Portland Trail Blazers,"$6,352,531"
8,168,"Jonathon Simmons, SF",Orlando Magic,"$6,300,000"
9,169,"Lonzo Ball, PG",Los Angeles Lakers,"$6,286,560"
10,170,"Wayne Ellington, SG",Miami Heat,"$6,270,000"
11,RK,NAME,TEAM,SALARY
12,171,"Isaiah Thomas, PG",Los Angeles Lakers,"$6,261,395"
13,172,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$6,216,840"
14,173,"Ben Simmons, PG",Philadelphia 76ers,"$6,168,840"
15,174,"Joel Embiid, C",Philadelphia 76ers,"$6,100,266"
16,175,"Spencer Hawes, PF",Milwaukee Bucks,"$6,061,175"
17,176,"Josh McRoberts, PF",Dallas Mavericks,"$6,021,175"
18,177,"Milos Teodosic, PG",LA Clippers,"$6,000,000"
19,178,"Ersan Ilyasova, PF",Philadelphia 76ers,"$6,000,000"
20,179,"Alan Williams, PF",Phoenix Suns,"$6,000,000"
21,180,"Dewayne Dedmon, C",Atlanta Hawks,"$6,000,000"
22,RK,NAME,TEAM,SALARY
23,181,"Wesley Johnson, SF",LA Clippers,"$5,882,260"
24,182,"Tyler Johnson, SG",Miami Heat,"$5,881,260"
25,183,"Alex Abrines, SG",Oklahoma City Thunder,"$5,725,000"
26,184,"Jayson Tatum, SF",Boston Celtics,"$5,645,400"
27,185,"Jared Sullinger, C",Phoenix Suns,"$5,628,000"
28,186,"D'Angelo Russell, PG",Brooklyn Nets,"$5,562,360"
29,187,"Brandon Ingram, SF",Los Angeles Lakers,"$5,519,400"
30,188,"Patrick Beverley, PG",LA Clippers,"$5,513,514"
31,189,"Aaron Gordon, PF",Orlando Magic,"$5,504,420"
32,190,"Thabo Sefolosha, SF",Utah Jazz,"$5,500,000"
33,RK,NAME,TEAM,SALARY
34,191,"Luis Scola, PF",Brooklyn Nets,"$5,500,000"
35,192,"Jason Smith, PF",Washington Wizards,"$5,225,000"
36,193,"Ben McLemore, SG",Memphis Grizzlies,"$5,200,000"
37,194,"Patrick Patterson, PF",Oklahoma City Thunder,"$5,192,000"
38,195,"Nick Young, SG",Golden State Warriors,"$5,192,000"
39,196,"Josh Jackson, SG",Phoenix Suns,"$5,090,040"
40,197,"C.J. Watson, PG",Orlando Magic,"$5,000,000"
41,198,"Greg Monroe, C",Phoenix Suns,"$5,000,000"
42,199,"Dirk Nowitzki, C",Dallas Mavericks,"$5,000,000"
43,200,"Mike Muscala, PF",Atlanta Hawks,"$5,000,000"
0,RK,NAME,TEAM,SALARY
1,201,"Jahlil Okafor, C",Philadelphia 76ers,"$4,995,120"
2,202,"Dante Exum, PG",Utah Jazz,"$4,992,385"
3,203,"Alexis Ajinca, C",New Orleans Pelicans,"$4,961,798"
4,204,"Jaylen Brown, SG",Boston Celtics,"$4,956,480"
5,205,"Mike Dunleavy, SG",Atlanta Hawks,"$4,837,500"
6,206,"Kyle Singler, SF",Oklahoma City Thunder,"$4,666,500"
7,207,"Justin Holiday, SG",Chicago Bulls,"$4,615,385"
8,208,"De'Aaron Fox, PG",Sacramento Kings,"$4,609,200"
9,209,"Marcus Smart, PG",Boston Celtics,"$4,538,020"
10,210,"Kristaps Porzingis, PF",New York Knicks,"$4,503,600"
11,RK,NAME,TEAM,SALARY
12,211,"Dragan Bender, PF",Phoenix Suns,"$4,468,800"
13,212,"Devin Harris, PG",Denver Nuggets,"$4,402,546"
14,213,"Greivis Vasquez, PG",Brooklyn Nets,"$4,347,826"
15,214,"Ron Baker, SG",New York Knicks,"$4,328,000"
16,215,"Aron Baynes, C",Boston Celtics,"$4,328,000"
17,216,"Alex Len, C",Phoenix Suns,"$4,187,599"
18,217,"Nerlens Noel, C",Dallas Mavericks,"$4,187,599"
19,218,"Jonathan Isaac, PF",Orlando Magic,"$4,186,320"
20,219,"Lance Stephenson, SG",Indiana Pacers,"$4,180,000"
21,220,"Julius Randle, PF",Los Angeles Lakers,"$4,149,242"
22,RK,NAME,TEAM,SALARY
23,221,"Kyle O'Quinn, C",New York Knicks,"$4,087,500"
24,222,"Kris Dunn, PG",Chicago Bulls,"$4,046,760"
25,223,"Leandro Barbosa, SG",Phoenix Suns,"$4,000,000"
26,224,"Jonas Jerebko, PF",Utah Jazz,"$4,000,000"
27,225,"Jordan Hill, C",Minnesota Timberwolves,"$4,000,000"
28,226,"Nemanja Bjelica, PF",Minnesota Timberwolves,"$3,949,999"
29,227,"Mario Hezonja, SF",Orlando Magic,"$3,909,840"
30,228,"J.J. Barea, PG",Dallas Mavericks,"$3,903,900"
31,229,"Quincy Pondexter, SG",Chicago Bulls,"$3,853,931"
32,230,"Lauri Markkanen, PF",Chicago Bulls,"$3,821,640"
33,RK,NAME,TEAM,SALARY
34,231,"Nik Stauskas, SG",Philadelphia 76ers,"$3,807,147"
35,232,"Willie Cauley-Stein, C",Sacramento Kings,"$3,704,160"
36,233,"Buddy Hield, SG",Sacramento Kings,"$3,675,480"
37,234,"Drew Gooden, PF",Washington Wizards,"$3,547,000"
38,235,"Will Barton, SF",Denver Nuggets,"$3,533,333"
39,236,"Paul Pierce, SF",LA Clippers,"$3,527,920"
40,237,"Noah Vonleh, PF",Portland Trail Blazers,"$3,505,233"
41,238,"Frank Ntilikina, PG",New York Knicks,"$3,501,120"
42,239,"Mike Miller, SG",Denver Nuggets,"$3,500,000"
43,240,"Nene Hilario, C",Houston Rockets,"$3,477,600"
0,RK,NAME,TEAM,SALARY
1,241,"Zaza Pachulia, C",Golden State Warriors,"$3,477,600"
2,242,"Troy Daniels, SG",Phoenix Suns,"$3,408,520"
3,243,"Emmanuel Mudiay, PG",New York Knicks,"$3,381,480"
4,244,"Jamal Murray, PG",Denver Nuggets,"$3,355,320"
5,245,"Elfrid Payton, PG",Phoenix Suns,"$3,332,340"
6,246,"Rajon Rondo, PG",New Orleans Pelicans,"$3,300,000"
7,247,"Doug McDermott, SF",New York Knicks,"$3,294,994"
8,248,"Tyreke Evans, SG",Memphis Grizzlies,"$3,290,000"
9,249,"Tarik Black, PF",Houston Rockets,"$3,290,000"
10,250,"Anthony Tolliver, PF",Detroit Pistons,"$3,290,000"
11,RK,NAME,TEAM,SALARY
12,251,"Dennis Smith Jr., PG",Dallas Mavericks,"$3,218,280"
13,252,"Zach LaVine, PG",Chicago Bulls,"$3,202,218"
14,253,"Ekpe Udoh, C",Utah Jazz,"$3,200,000"
15,254,"TJ Warren, SF",Phoenix Suns,"$3,152,931"
16,255,"Stanley Johnson, SF",Detroit Pistons,"$3,097,800"
17,256,"Marquese Chriss, PF",Phoenix Suns,"$3,073,800"
18,257,"Zach Collins, C",Portland Trail Blazers,"$3,057,240"
19,258,"James Ennis III, SF",Memphis Grizzlies,"$3,028,410"
20,259,"Seth Curry, SG",Dallas Mavericks,"$3,028,410"
21,260,"Mindaugas Kuzminskas, F",New York Knicks,"$3,025,035"
22,RK,NAME,TEAM,SALARY
23,261,"Tomas Satoransky, SG",Washington Wizards,"$3,000,000"
24,262,"Justin Hamilton, C",Toronto Raptors,"$3,000,000"
25,263,"Tibor Pleiss, C",Philadelphia 76ers,"$3,000,000"
26,264,"Lucas Nogueira, C",Toronto Raptors,"$2,947,305"
27,265,"Jusuf Nurkic, C",Portland Trail Blazers,"$2,947,305"
28,266,"Malik Monk, SG",Charlotte Hornets,"$2,904,480"
29,267,"Frank Kaminsky, PF",Charlotte Hornets,"$2,847,600"
30,268,"Jakob Poeltl, C",Toronto Raptors,"$2,825,640"
31,269,"Luke Kennard, SG",Detroit Pistons,"$2,759,280"
32,270,"Justise Winslow, SF",Miami Heat,"$2,705,040"
33,RK,NAME,TEAM,SALARY
34,271,"Michael Carter-Williams, PG",Charlotte Hornets,"$2,700,000"
35,272,"Thon Maker, C",Milwaukee Bucks,"$2,684,160"
36,273,"Cedi Osman, SF",Cleveland Cavaliers,"$2,642,857"
37,274,"Donovan Mitchell, SG",Utah Jazz,"$2,621,280"
38,275,"Myles Turner, C",Indiana Pacers,"$2,569,920"
39,276,"Gary Harris, SG",Denver Nuggets,"$2,550,055"
40,277,"Domantas Sabonis, C",Indiana Pacers,"$2,550,000"
41,278,"Reggie Bullock, SG",Detroit Pistons,"$2,500,000"
42,279,"Manu Ginobili, SG",San Antonio Spurs,"$2,500,000"
43,280,"Malcolm Delaney, PG",Atlanta Hawks,"$2,500,000"
0,RK,NAME,TEAM,SALARY
1,281,"Bam Adebayo, C",Miami Heat,"$2,490,360"
2,282,"Bruno Caboclo, SF",Toronto Raptors,"$2,451,225"
3,283,"Trey Lyles, PF",Denver Nuggets,"$2,441,400"
4,284,"Dario Saric, PF",Philadelphia 76ers,"$2,422,560"
5,285,"Taurean Prince, SF",Atlanta Hawks,"$2,422,560"
6,286,"Rodney Hood, SG",Utah Jazz,"$2,386,864"
7,287,"Justin Jackson, SF",Sacramento Kings,"$2,365,560"
8,288,"Shabazz Napier, PG",Portland Trail Blazers,"$2,361,360"
9,289,"Clint Capela, C",Houston Rockets,"$2,334,528"
10,290,"Devin Booker, SG",Phoenix Suns,"$2,319,360"
11,RK,NAME,TEAM,SALARY
12,291,"Dante Cunningham, SF",Brooklyn Nets,"$2,300,000"
13,292,"Justin Patton, C",Minnesota Timberwolves,"$2,247,480"
14,293,"Guerschon Yabusele, PF",Boston Celtics,"$2,247,480"
15,294,"Cameron Payne, PG",Chicago Bulls,"$2,203,440"
16,295,"Mo Williams, PG",Denver Nuggets,"$2,194,500"
17,296,"Denzel Valentine, SF",Chicago Bulls,"$2,186,400"
18,297,"Sean Kilpatrick, SG",Brooklyn Nets,"$2,163,006"
19,298,"Kyle Anderson, SF",San Antonio Spurs,"$2,151,704"
20,299,"D.J. Wilson, PF",Milwaukee Bucks,"$2,135,040"
21,300,"Darius Miller, SF",New Orleans Pelicans,"$2,100,000"
22,RK,NAME,TEAM,SALARY
23,301,"Kelly Oubre Jr., SF",Washington Wizards,"$2,093,040"
24,302,"Juan Hernangomez, PF",Denver Nuggets,"$2,076,840"
25,303,"Kendall Marshall, PG",Milwaukee Bucks,"$2,048,257"
26,304,"T.J. Leaf, PF",Indiana Pacers,"$2,028,360"
27,305,"Tim Frazier, PG",Washington Wizards,"$2,000,000"
28,306,"Terry Rozier, PG",Boston Celtics,"$1,988,520"
29,307,"Kevin Seraphin, C",Indiana Pacers,"$1,974,159"
30,308,"John Collins, PF",Atlanta Hawks,"$1,936,920"
31,309,"Rashad Vaughn, SG",Orlando Magic,"$1,889,040"
32,310,"Harry Giles, PF",Sacramento Kings,"$1,859,400"
33,RK,NAME,TEAM,SALARY
34,311,"Sam Dekker, SF",LA Clippers,"$1,794,600"
35,312,"Terrance Ferguson, SG",Oklahoma City Thunder,"$1,785,000"
36,313,"Henry Ellenson, PF",Detroit Pistons,"$1,780,800"
37,314,"Eric Moreland, PF",Detroit Pistons,"$1,739,333"
38,315,"Jerian Grant, PG",Chicago Bulls,"$1,713,840"
39,316,"Jarrett Allen, C",Brooklyn Nets,"$1,713,720"
40,317,"Quincy Acy, SF",Brooklyn Nets,"$1,709,538"
41,318,"Tyler Zeller, C",Brooklyn Nets,"$1,709,538"
42,319,"Malik Beasley, SG",Denver Nuggets,"$1,700,640"
43,320,"Delon Wright, PG",Toronto Raptors,"$1,645,200"
0,RK,NAME,TEAM,SALARY
1,321,"OG Anunoby, SF",Toronto Raptors,"$1,645,200"
2,322,"Ante Zizic, PF",Cleveland Cavaliers,"$1,645,200"
3,323,"Caris LeVert, SG",Brooklyn Nets,"$1,632,480"
4,324,"Justin Anderson, SG",Philadelphia 76ers,"$1,579,440"
5,325,"Tyler Lydon, PF",Denver Nuggets,"$1,579,440"
6,326,"Ryan Kelly, PF",Atlanta Hawks,"$1,577,230"
7,327,"Shabazz Muhammad, SG",Minnesota Timberwolves,"$1,577,230"
8,328,"Archie Goodwin, SG",Portland Trail Blazers,"$1,577,230"
9,329,"Jeff Withey, C",Dallas Mavericks,"$1,577,230"
10,330,"DeAndre' Bembry, SF",Atlanta Hawks,"$1,567,200"
11,RK,NAME,TEAM,SALARY
12,331,"Caron Butler, SF",Sacramento Kings,"$1,551,659"
13,332,"Mitch McGary, PF",Oklahoma City Thunder,"$1,526,040"
14,333,"Joffrey Lauvergne, C",San Antonio Spurs,"$1,524,305"
15,334,"Julyan Stone, PG",Charlotte Hornets,"$1,524,305"
16,335,"Jerami Grant, SF",Oklahoma City Thunder,"$1,524,305"
17,336,"Joe Harris, SF",Brooklyn Nets,"$1,524,305"
18,337,"Glenn Robinson III, SG",Indiana Pacers,"$1,524,305"
19,338,"Bobby Portis, PF",Chicago Bulls,"$1,516,320"
20,339,"Malachi Richardson, SG",Toronto Raptors,"$1,504,560"
21,340,"Marcelo Huertas, PG",Houston Rockets,"$1,500,000"
22,RK,NAME,TEAM,SALARY
23,341,"Chris McCullough, PF",Washington Wizards,"$1,471,382"
24,342,"Donald Sloan, PG",Washington Wizards,"$1,471,382"
25,343,"Jarell Martin, PF",Memphis Grizzlies,"$1,471,382"
26,344,"Mario Chalmers, PG",Memphis Grizzlies,"$1,471,382"
27,345,"Raul Neto, PG",Utah Jazz,"$1,471,382"
28,346,"Anthony Morrow, SG",Portland Trail Blazers,"$1,471,382"
29,347,"Pat Connaughton, SG",Portland Trail Blazers,"$1,471,382"
30,348,"Nikola Jokic, C",Denver Nuggets,"$1,471,382"
31,349,"Jeremy Evans, F",Atlanta Hawks,"$1,471,382"
32,350,"Caleb Swanigan, PF",Portland Trail Blazers,"$1,465,920"
33,RK,NAME,TEAM,SALARY
34,351,"Furkan Korkmaz, SG",Philadelphia 76ers,"$1,465,920"
35,352,"Jordan Adams, SG",Memphis Grizzlies,"$1,465,080"
36,353,"Richard Jefferson, SF",Denver Nuggets,"$1,454,756"
37,354,"Willy Hernangomez, C",Charlotte Hornets,"$1,435,750"
38,355,"Jameer Nelson, PG",Detroit Pistons,"$1,429,818"
39,356,"Kyle Kuzma, PF",Los Angeles Lakers,"$1,423,560"
40,357,"Tony Bradley, C",Utah Jazz,"$1,414,920"
41,358,"Derrick White, PG",San Antonio Spurs,"$1,404,600"
42,359,"Josh Hart, SG",Los Angeles Lakers,"$1,394,520"
43,360,"Timothe Luwawu-Cabarrot, SG",Philadelphia 76ers,"$1,386,600"
0,RK,NAME,TEAM,SALARY
1,361,"Josh Smith, PF",New Orleans Pelicans,"$1,379,940"
2,362,"Guillermo Hernangomez, C",New York Knicks,"$1,350,000"
3,363,"Sasha Kaun, C",Philadelphia 76ers,"$1,333,240"
4,364,"Brice Johnson, PF",Memphis Grizzlies,"$1,331,160"
5,365,"Daniel Ochefu, PF",Washington Wizards,"$1,312,611"
6,366,"Deyonta Davis, C",Memphis Grizzlies,"$1,312,611"
7,367,"Wayne Selden, SG",Memphis Grizzlies,"$1,312,611"
8,368,"Andrew Harrison, SG",Memphis Grizzlies,"$1,312,611"
9,369,"Bryn Forbes, SG",San Antonio Spurs,"$1,312,611"
10,370,"Treveon Graham, SG",Charlotte Hornets,"$1,312,611"
11,RK,NAME,TEAM,SALARY
12,371,"Stephen Zimmerman, C",Los Angeles Lakers,"$1,312,611"
13,372,"Skal Labissiere, PF",Sacramento Kings,"$1,312,611"
14,373,"Nicolas Brussino, SF",Atlanta Hawks,"$1,312,611"
15,374,"Sheldon Mac, SG",Atlanta Hawks,"$1,312,611"
16,375,"Isaiah Taylor, PG",Atlanta Hawks,"$1,312,611"
17,376,"Semi Ojeleye, PF",Boston Celtics,"$1,291,892"
18,377,"Livio Jean-Charles, SF",San Antonio Spurs,"$1,188,840"
19,378,"Frank Mason III, PG",Sacramento Kings,"$1,184,385"
