,0,1,2,3
0,RK,NAME,TEAM,SALARY
1,1,"Stephen Curry, PG",Golden State Warriors,"$34,382,550"
2,2,"LeBron James, SF",Cleveland Cavaliers,"$33,285,709"
3,3,"Paul Millsap, PF",Denver Nuggets,"$31,269,231"
4,4,"Blake Griffin, PF",LA Clippers,"$29,727,900"
5,5,"Gordon Hayward, SF",Boston Celtics,"$29,727,900"
6,6,"Kyle Lowry, PG",Toronto Raptors,"$28,703,704"
7,7,"Mike Conley, PG",Memphis Grizzlies,"$28,530,608"
8,8,"Russell Westbrook, PG",Oklahoma City Thunder,"$28,530,608"
9,9,"James Harden, PG",Houston Rockets,"$28,299,399"
10,10,"DeMar DeRozan, SG",Toronto Raptors,"$27,739,975"
11,RK,NAME,TEAM,SALARY
12,11,"Al Horford, PF",Boston Celtics,"$27,734,406"
13,12,"Carmelo Anthony, PF",Oklahoma City Thunder,"$26,243,760"
14,13,"Damian Lillard, PG",Portland Trail Blazers,"$26,153,057"
15,14,"Jrue Holiday, PG",New Orleans Pelicans,"$25,686,667"
16,15,"Kevin Durant, SF",Golden State Warriors,"$25,000,000"
17,16,"Otto Porter Jr., SF",Washington Wizards,"$24,773,250"
18,17,"Chris Paul, PG",Houston Rockets,"$24,599,495"
19,18,"CJ McCollum, SG",Portland Trail Blazers,"$23,962,573"
20,19,"Andre Drummond, C",Detroit Pistons,"$23,775,506"
21,20,"Bradley Beal, SG",Washington Wizards,"$23,775,506"
22,RK,NAME,TEAM,SALARY
23,21,"Anthony Davis, PF",New Orleans Pelicans,"$23,775,506"
24,22,"Dwight Howard, C",Charlotte Hornets,"$23,500,000"
25,23,"Chandler Parsons, SF",Memphis Grizzlies,"$23,112,004"
26,24,"Harrison Barnes, SF",Dallas Mavericks,"$23,112,004"
27,25,"JJ Redick, SG",Philadelphia 76ers,"$23,000,000"
28,26,"Brook Lopez, C",Los Angeles Lakers,"$22,642,650"
29,27,"Marc Gasol, C",Memphis Grizzlies,"$22,642,350"
30,28,"DeAndre Jordan, C",LA Clippers,"$22,642,350"
31,29,"Kevin Love, C",Cleveland Cavaliers,"$22,642,350"
32,30,"Steven Adams, C",Oklahoma City Thunder,"$22,471,910"
33,RK,NAME,TEAM,SALARY
34,31,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$22,471,910"
35,32,"Nicolas Batum, SG",Charlotte Hornets,"$22,434,783"
36,33,"Rudy Gobert, C",Utah Jazz,"$21,924,719"
37,34,"LaMarcus Aldridge, PF",San Antonio Spurs,"$21,461,010"
38,35,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000"
39,36,"Danilo Gallinari, SF",LA Clippers,"$20,559,599"
40,37,"Serge Ibaka, PF",Toronto Raptors,"$20,061,729"
41,38,"George Hill, PG",Sacramento Kings,"$20,000,000"
42,39,"Ryan Anderson, PF",Houston Rockets,"$19,578,455"
43,40,"Paul George, SF",Oklahoma City Thunder,"$19,508,958"
0,RK,NAME,TEAM,SALARY
1,41,"Allen Crabbe, SG",Brooklyn Nets,"$19,332,500"
2,42,"Jimmy Butler, SG",Minnesota Timberwolves,"$19,301,070"
3,43,"Jeff Teague, PG",Minnesota Timberwolves,"$19,000,000"
4,44,"Kawhi Leonard, SF",San Antonio Spurs,"$18,868,626"
5,45,"Kyrie Irving, PG",Boston Celtics,"$18,868,626"
6,46,"John Wall, PG",Washington Wizards,"$18,063,850"
7,47,"DeMarcus Cousins, C",New Orleans Pelicans,"$18,063,850"
8,48,"Enes Kanter, C",New York Knicks,"$17,884,176"
9,49,"Wesley Matthews, SG",Dallas Mavericks,"$17,884,176"
10,50,"Klay Thompson, SG",Golden State Warriors,"$17,826,150"
11,RK,NAME,TEAM,SALARY
12,51,"Joakim Noah, C",New York Knicks,"$17,765,000"
13,52,"Kentavious Caldwell-Pope, SG",Los Angeles Lakers,"$17,745,894"
14,53,"Luol Deng, SF",Los Angeles Lakers,"$17,190,000"
15,54,"Evan Turner, SF",Portland Trail Blazers,"$17,131,148"
16,55,"Goran Dragic, PG",Miami Heat,"$17,000,450"
17,56,"Bismack Biyombo, C",Orlando Magic,"$17,000,000"
18,57,"Evan Fournier, SG",Orlando Magic,"$17,000,000"
19,58,"Kent Bazemore, SG",Atlanta Hawks,"$16,910,113"
20,59,"Robert Covington, SF",Philadelphia 76ers,"$16,698,103"
21,60,"Ian Mahinmi, C",Washington Wizards,"$16,661,641"
22,RK,NAME,TEAM,SALARY
