,0,1,2,3
20,379,"Casper Ware, PG",Melbourne United,"$874,636"
21,380,"T.J. McConnell, PG",Philadelphia 76ers,"$874,636"
22,RK,NAME,TEAM,SALARY
23,381,"D.J. Stephens, SG",Memphis Grizzlies,"$874,636"
24,382,"D.J. Kennedy, SG",Memphis Grizzlies,"$874,636"
25,383,"Christian Wood, PF",Charlotte Hornets,"$874,636"
26,384,"Duje Dukan, PF",Sacramento Kings,"$874,636"
27,385,"Grant Jerrett, PF",Portland Trail Blazers,"$874,636"
28,386,"Cliff Alexander, PF",New Orleans Pelicans,"$874,636"
29,387,"R.J. Hunter, SG",Chicago Bulls,"$864,346"
30,388,"Paul Zipser, SF",Chicago Bulls,"$750,000"
31,389,"Spencer Dinwiddie, PG",Brooklyn Nets,"$726,672"
32,390,"Bobby Brown, PG",Houston Rockets,"$680,534"
33,RK,NAME,TEAM,SALARY
34,391,"AJ Hammons, C",Dallas Mavericks,"$650,000"
35,392,"Georges Niang, F",Indiana Pacers,"$650,000"
36,393,"Michael Gbinije, SG",Detroit Pistons,"$650,000"
37,394,"Jake Layman, SF",Portland Trail Blazers,"$600,000"
38,395,"Joel Bolomboy, PF",Utah Jazz,"$600,000"
39,396,"Donatas Motiejunas, PF",New Orleans Pelicans,"$576,724"
40,397,"Derrick Jones Jr., SG",Phoenix Suns,"$543,471"
41,398,"E.J. Singler, SF",Toronto Raptors,"$543,471"
42,399,"Drew Crawford, SG",Toronto Raptors,"$543,471"
43,400,"Andrew Andrews, G",Charlotte Hornets,"$543,471"
0,RK,NAME,TEAM,SALARY
1,401,"Treveon Graham, SG",Charlotte Hornets,"$543,471"
2,402,"Julyan Stone, PG",Charlotte Hornets,"$543,471"
3,403,"Marcus Paige, PG",Charlotte Hornets,"$543,471"
4,404,"Rasheed Sulaimon, G",Charlotte Hornets,"$543,471"
5,405,"Isaiah Cousins, PG",Sacramento Kings,"$543,471"
6,406,"Nick Zeisloft, SG",Indiana Pacers,"$543,471"
7,407,"Richard Solomon, PF",Atlanta Hawks,"$543,471"
8,408,"Jonathan Holmes, PF",Boston Celtics,"$543,471"
9,409,"Nicolas Brussino, SF",Dallas Mavericks,"$543,471"
10,410,"Jonathan Gibson, G",Dallas Mavericks,"$469,943"
11,RK,NAME,TEAM,SALARY
12,411,"Toney Douglas, PG",Memphis Grizzlies,"$379,159"
13,412,"Joel Anthony, PF",San Antonio Spurs,"$346,034"
14,413,"Ryan Kelly, PF",Atlanta Hawks,"$286,785"
15,414,"Ronnie Price, PG",Phoenix Suns,"$276,828"
16,415,"Deron Williams, PG",Dallas Mavericks,"$259,526"
17,416,"Isaiah Taylor, PG",Houston Rockets,"$255,000"
18,417,"Norris Cole, PG",Oklahoma City Thunder,"$247,991"
19,418,"Jose Calderon, PG",Los Angeles Lakers,"$247,991"
20,419,"Lamar Patterson, SG",Atlanta Hawks,"$246,956"
21,420,"Andrew Bogut, C",Dallas Mavericks,"$242,224"
22,RK,NAME,TEAM,SALARY
23,421,"Matt Barnes, SF",Sacramento Kings,"$242,224"
24,422,"Okaro White, PF",Miami Heat,"$210,995"
25,423,"Yogi Ferrell, PG",Brooklyn Nets,"$207,798"
26,424,"Larry Sanders, PF",Cleveland Cavaliers,"$207,722"
27,425,"Jordan Crawford, SG",New Orleans Pelicans,"$173,099"
28,426,"Johnny O'Bryant III, PF",Charlotte Hornets,"$161,483"
29,427,"Chasson Randle, PG",Philadelphia 76ers,"$143,860"
30,428,"Omri Casspi, F",Sacramento Kings,"$138,414"
31,429,"Briante Weber, PG",Charlotte Hornets,"$128,623"
32,430,"Ray McCallum, PG",Charlotte Hornets,"$121,112"
33,RK,NAME,TEAM,SALARY
34,431,"Derrick Williams, PF",Miami Heat,"$115,344"
35,432,"Hollis Thompson, SF",Philadelphia 76ers,"$115,344"
36,433,"Manny Harris, PG",Dallas Mavericks,"$115,344"
37,434,"Shawn Long, PF",Philadelphia 76ers,"$89,513"
38,435,"Wayne Selden, SG",Memphis Grizzlies,"$83,119"
39,436,"Troy Williams, SF",Memphis Grizzlies,"$76,725"
40,437,"Archie Goodwin, SG",Brooklyn Nets,"$75,000"
41,438,"David Nwaba, SF",Los Angeles Lakers,"$73,528"
42,439,"Mike Tobey, C",Charlotte Hornets,"$67,135"
43,440,"Justin Harper, PF",Philadelphia 76ers,"$57,672"
0,RK,NAME,TEAM,SALARY
1,441,"Jarrett Jack, PG",New Orleans Pelicans,"$57,672"
2,442,"Anthony Brown, SF",Orlando Magic,"$57,672"
3,443,"Alonzo Gee, SF",Denver Nuggets,"$57,672"
4,444,"Jarell Eddie, SG",Phoenix Suns,"$57,672"
5,445,"Jarrod Uthoff, SF",Dallas Mavericks,"$47,953"
6,446,"Alex Poythress, SF",Philadelphia 76ers,"$35,166"
7,447,"Gary Payton II, PG",Milwaukee Bucks,"$35,116"
8,448,"Patricio Garino, SG",Orlando Magic,"$31,969"
9,449,"Marcus Georges-Hunt, SG",Orlando Magic,"$31,969"
10,450,"Pierre Jackson, PG",Dallas Mavericks,"$31,969"
11,RK,NAME,TEAM,SALARY
12,451,"Elijah Millsap, SG",Phoenix Suns,"$23,069"
13,452,"Quinn Cook, PG",Dallas Mavericks,"$15,984"
14,453,"Axel Toupane, SG",Milwaukee Bucks,"$15,435"
15,454,"Dahntay Jones, SG",Cleveland Cavaliers,"$5,767"
