,0,1,2,3
8,88,"Austin Rivers, PG",LA Clippers,"$11,000,000"
9,89,"Joe Johnson, SG",Utah Jazz,"$11,000,000"
10,90,"Jon Leuer, PF",Detroit Pistons,"$10,991,957"
11,RK,NAME,TEAM,SALARY
12,91,"Monta Ellis, SG",Indiana Pacers,"$10,763,500"
13,92,"Mirza Teletovic, PF",Milwaukee Bucks,"$10,500,000"
14,93,"Jared Dudley, SF",Phoenix Suns,"$10,470,000"
15,94,"Zach Randolph, PF",Memphis Grizzlies,"$10,361,445"
16,95,"Al Jefferson, C",Indiana Pacers,"$10,314,532"
17,96,"Tyreke Evans, SG",Sacramento Kings,"$10,203,755"
18,97,"Alec Burks, SG",Utah Jazz,"$10,154,495"
19,98,"Danny Green, SG",San Antonio Spurs,"$10,000,000"
20,99,"Terrence Ross, SG",Toronto Raptors,"$10,000,000"
21,100,"Omer Asik, C",New Orleans Pelicans,"$9,904,494"
22,RK,NAME,TEAM,SALARY
23,101,"Iman Shumpert, SG",Cleveland Cavaliers,"$9,662,922"
24,102,"Matthew Dellavedova, PG",Milwaukee Bucks,"$9,607,500"
25,103,"Jerryd Bayless, PG",Philadelphia 76ers,"$9,424,084"
26,104,"Trevor Booker, PF",Brooklyn Nets,"$9,250,000"
27,105,"Meyers Leonard, C",Portland Trail Blazers,"$9,213,483"
28,106,"Gerald Henderson, SG",Philadelphia 76ers,"$9,000,000"
29,107,"Maurice Harkless, SF",Portland Trail Blazers,"$8,988,765"
30,108,"Taj Gibson, PF",Oklahoma City Thunder,"$8,950,000"
31,109,"Jeff Teague, PG",Indiana Pacers,"$8,800,000"
32,110,"Tiago Splitter, C",Philadelphia 76ers,"$8,550,000"
33,RK,NAME,TEAM,SALARY
34,111,"Ersan Ilyasova, PF",Oklahoma City Thunder,"$8,400,000"
35,112,"Dwight Powell, C",Dallas Mavericks,"$8,375,000"
36,113,"Avery Bradley, SG",Boston Celtics,"$8,269,663"
37,114,"E'Twaun Moore, SF",New Orleans Pelicans,"$8,081,363"
38,115,"Darrell Arthur, PF",Denver Nuggets,"$8,070,175"
39,116,"Kosta Koufos, C",Sacramento Kings,"$8,046,500"
40,117,"Tyler Zeller, C",Boston Celtics,"$8,000,000"
41,118,"Garrett Temple, SF",Sacramento Kings,"$8,000,000"
42,119,"George Hill, PG",Utah Jazz,"$8,000,000"
43,120,"Channing Frye, PF",Cleveland Cavaliers,"$7,806,971"
0,RK,NAME,TEAM,SALARY
1,121,"Trevor Ariza, SF",Houston Rockets,"$7,806,971"
2,122,"Al-Farouq Aminu, PF",Portland Trail Blazers,"$7,680,965"
3,123,"Cole Aldrich, C",Minnesota Timberwolves,"$7,643,979"
4,124,"Corey Brewer, SF",Los Angeles Lakers,"$7,612,172"
5,125,"Markieff Morris, PF",Washington Wizards,"$7,400,000"
6,126,"Festus Ezeli, C",Portland Trail Blazers,"$7,400,000"
7,127,"JJ Redick, SG",LA Clippers,"$7,377,500"
8,128,"Cory Joseph, PG",Toronto Raptors,"$7,315,000"
9,129,"D.J. Augustin, PG",Orlando Magic,"$7,250,000"
10,130,"Boban Marjanovic, C",Detroit Pistons,"$7,000,000"
11,RK,NAME,TEAM,SALARY
12,131,"Lou Williams, SG",Los Angeles Lakers,"$7,000,000"
13,132,"Boris Diaw, C",Utah Jazz,"$7,000,000"
14,133,"Rodney Stuckey, PG",Indiana Pacers,"$7,000,000"
15,134,"Ed Davis, PF",Portland Trail Blazers,"$6,666,667"
16,135,"Isaiah Thomas, PG",Boston Celtics,"$6,587,132"
17,136,"Victor Oladipo, SG",Oklahoma City Thunder,"$6,552,961"
18,137,"Jodie Meeks, SG",Orlando Magic,"$6,540,000"
19,138,"Jeremy Lamb, SG",Charlotte Hornets,"$6,511,628"
20,139,"Carl Landry, PF",Philadelphia 76ers,"$6,500,000"
21,140,"Aron Baynes, C",Detroit Pistons,"$6,500,000"
22,RK,NAME,TEAM,SALARY
23,141,"Tim Duncan, C",San Antonio Spurs,"$6,393,750"
24,142,"Spencer Hawes, PF",Charlotte Hornets,"$6,348,759"
25,143,"Marco Belinelli, SG",Charlotte Hornets,"$6,333,333"
26,144,"Jae Crowder, PF",Boston Celtics,"$6,286,408"
27,145,"Lance Thomas, SF",New York Knicks,"$6,191,000"
28,146,"Tarik Black, PF",Los Angeles Lakers,"$6,191,000"
29,147,"Andrew Nicholson, PF",Washington Wizards,"$6,088,993"
30,148,"Patrick Patterson, PF",Toronto Raptors,"$6,050,000"
31,149,"Andrew Wiggins, SF",Minnesota Timberwolves,"$6,006,600"
32,150,"Ramon Sessions, PG",Charlotte Hornets,"$6,000,000"
33,RK,NAME,TEAM,SALARY
34,151,"Wayne Ellington, SG",Miami Heat,"$6,000,000"
35,152,"Ish Smith, PG",Detroit Pistons,"$6,000,000"
36,153,"Alex Abrines, SG",Oklahoma City Thunder,"$5,994,764"
37,154,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$5,960,160"
38,155,"Ben Simmons, PG",Philadelphia 76ers,"$5,903,160"
39,156,"Otto Porter Jr., SF",Washington Wizards,"$5,893,981"
40,157,"Shaun Livingston, PG",Golden State Warriors,"$5,782,450"
41,158,"Nikola Mirotic, PF",Chicago Bulls,"$5,782,450"
42,159,"Brandan Wright, F",Memphis Grizzlies,"$5,709,880"
43,160,"Tyler Johnson, SG",Miami Heat,"$5,628,000"
0,RK,NAME,TEAM,SALARY
1,161,"Jared Sullinger, C",Toronto Raptors,"$5,628,000"
2,162,"Wesley Johnson, SF",LA Clippers,"$5,628,000"
3,163,"Tony Allen, SG",Memphis Grizzlies,"$5,505,618"
4,164,"Luis Scola, PF",Brooklyn Nets,"$5,500,000"
5,165,"Nick Young, SG",Los Angeles Lakers,"$5,443,918"
6,166,"Jabari Parker, PF",Milwaukee Bucks,"$5,374,320"
7,167,"D'Angelo Russell, PG",Los Angeles Lakers,"$5,332,800"
8,168,"Cody Zeller, C",Charlotte Hornets,"$5,318,313"
9,169,"PJ Tucker, SF",Toronto Raptors,"$5,300,000"
10,170,"Brandon Ingram, SF",Los Angeles Lakers,"$5,281,680"
11,RK,NAME,TEAM,SALARY
12,171,"Kyle Korver, SG",Cleveland Cavaliers,"$5,239,437"
13,172,"Darren Collison, PG",Sacramento Kings,"$5,229,454"
14,173,"Langston Galloway, SG",Sacramento Kings,"$5,200,000"
15,174,"Jason Smith, PF",Washington Wizards,"$5,000,000"
16,175,"C.J. Watson, PG",Orlando Magic,"$5,000,000"
17,176,"Brandon Jennings, PG",Washington Wizards,"$5,000,000"
18,177,"Jonas Jerebko, PF",Boston Celtics,"$5,000,000"
19,178,"Roy Hibbert, C",Charlotte Hornets,"$5,000,000"
20,179,"Kyle Singler, SF",Oklahoma City Thunder,"$4,837,500"
21,180,"Mike Dunleavy, SG",Cleveland Cavaliers,"$4,837,500"
22,RK,NAME,TEAM,SALARY
23,181,"Joel Embiid, C",Philadelphia 76ers,"$4,826,160"
24,182,"Alex Len, C",Phoenix Suns,"$4,823,621"
25,183,"Jahlil Okafor, C",Philadelphia 76ers,"$4,788,840"
26,184,"Jaylen Brown, SG",Boston Celtics,"$4,743,000"
27,185,"Alexis Ajinca, C",New Orleans Pelicans,"$4,638,203"
28,186,"Marcus Morris, PF",Detroit Pistons,"$4,625,000"
29,187,"CJ Miles, SF",Indiana Pacers,"$4,583,450"
30,188,"Jameer Nelson, PG",Denver Nuggets,"$4,540,525"
31,189,"Nerlens Noel, C",Philadelphia 76ers,"$4,384,490"
32,190,"Aaron Gordon, PF",Orlando Magic,"$4,351,320"
33,RK,NAME,TEAM,SALARY
34,191,"Greivis Vasquez, PG",Brooklyn Nets,"$4,347,826"
35,192,"Kristaps Porzingis, PF",New York Knicks,"$4,317,720"
36,193,"Dragan Bender, PF",Phoenix Suns,"$4,276,320"
37,194,"Vince Carter, SG",Memphis Grizzlies,"$4,264,057"
38,195,"Devin Harris, PG",Dallas Mavericks,"$4,227,996"
39,196,"J.J. Barea, PG",Dallas Mavericks,"$4,096,950"
40,197,"Ben McLemore, SG",Sacramento Kings,"$4,008,882"
41,198,"Udonis Haslem, PF",Miami Heat,"$4,000,000"
42,199,"James Johnson, PF",Miami Heat,"$4,000,000"
43,200,"Kris Humphries, PF",Atlanta Hawks,"$4,000,000"
0,RK,NAME,TEAM,SALARY
1,201,"Leandro Barbosa, SG",Phoenix Suns,"$4,000,000"
2,202,"Lavoy Allen, PF",Indiana Pacers,"$4,000,000"
3,203,"Lance Stephenson, SG",Minnesota Timberwolves,"$4,000,000"
4,204,"Dante Exum, PG",Utah Jazz,"$3,940,320"
5,205,"Kyle O'Quinn, C",New York Knicks,"$3,918,750"
6,206,"Mario Hezonja, SF",Orlando Magic,"$3,909,840"
7,207,"Kris Dunn, PG",Minnesota Timberwolves,"$3,872,520"
8,208,"Thabo Sefolosha, SF",Atlanta Hawks,"$3,850,000"
9,209,"Nemanja Bjelica, PF",Minnesota Timberwolves,"$3,800,000"
10,210,"Nick Collison, F",Oklahoma City Thunder,"$3,750,000"
11,RK,NAME,TEAM,SALARY
12,211,"Bojan Bogdanovic, SF",Washington Wizards,"$3,730,653"
13,212,"Kentavious Caldwell-Pope, SG",Detroit Pistons,"$3,678,319"
14,213,"Quincy Pondexter, SG",Chicago Bulls,"$3,617,978"
15,214,"Patty Mills, PG",San Antonio Spurs,"$3,578,948"
16,215,"Marcus Smart, PG",Boston Celtics,"$3,578,880"
17,216,"Willie Cauley-Stein, C",Sacramento Kings,"$3,551,160"
18,217,"Drew Gooden, PF",Washington Wizards,"$3,547,000"
19,218,"Will Barton, SF",Denver Nuggets,"$3,533,333"
20,219,"Paul Pierce, SF",LA Clippers,"$3,527,920"
21,220,"Buddy Hield, SG",Sacramento Kings,"$3,517,200"
22,RK,NAME,TEAM,SALARY
23,221,"Brandon Rush, SG",Minnesota Timberwolves,"$3,500,000"
24,222,"Mike Miller, SG",Denver Nuggets,"$3,500,000"
25,223,"Anthony Morrow, SG",Oklahoma City Thunder,"$3,488,000"
26,224,"Trey Burke, PG",Washington Wizards,"$3,386,598"
27,225,"Mike Scott, PF",Atlanta Hawks,"$3,333,334"
28,226,"KJ McDaniels, SG",Brooklyn Nets,"$3,333,333"
29,227,"Troy Daniels, SG",Memphis Grizzlies,"$3,332,940"
30,228,"Julius Randle, PF",Los Angeles Lakers,"$3,267,120"
31,229,"Emmanuel Mudiay, PG",Denver Nuggets,"$3,241,800"
32,230,"CJ McCollum, SG",Portland Trail Blazers,"$3,219,579"
33,RK,NAME,TEAM,SALARY
34,231,"Jamal Murray, PG",Denver Nuggets,"$3,210,840"
35,232,"Michael Carter-Williams, PG",Chicago Bulls,"$3,183,526"
36,233,"Steven Adams, C",Oklahoma City Thunder,"$3,140,517"
37,234,"Kelly Olynyk, PF",Boston Celtics,"$3,094,014"
38,235,"Shabazz Muhammad, SG",Minnesota Timberwolves,"$3,046,299"
39,236,"Justin Hamilton, C",Brooklyn Nets,"$3,000,000"
40,237,"Tibor Pleiss, C",Philadelphia 76ers,"$3,000,000"
41,238,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$2,995,421"
42,239,"Nik Stauskas, SG",Philadelphia 76ers,"$2,993,040"
43,240,"Dante Cunningham, SF",New Orleans Pelicans,"$2,978,250"
0,RK,NAME,TEAM,SALARY
1,241,"Stanley Johnson, SF",Detroit Pistons,"$2,969,880"
2,242,"Marquese Chriss, PF",Phoenix Suns,"$2,941,440"
3,243,"Dion Waiters, SG",Miami Heat,"$2,898,000"
4,244,"Zaza Pachulia, C",Golden State Warriors,"$2,898,000"
5,245,"Mindaugas Kuzminskas, F",New York Knicks,"$2,898,000"
6,246,"Nene Hilario, C",Houston Rockets,"$2,898,000"
7,247,"Dewayne Dedmon, C",San Antonio Spurs,"$2,898,000"
