,0,1,2,3,4,5,6,7,8
24,104,"Patrick Patterson, PF",TOR,81,26.6,2.17,-1.83,0.34,3.52
25,105,"Marvin Williams, PF",CHA,78,26.1,-0.60,1.03,0.43,3.48
26,106,"Goran Dragic, PG",MIA/PHX,78,33.8,1.76,-2.10,-0.34,3.36
27,107,"Jusuf Nurkic, C",DEN,62,17.8,-1.69,4.02,2.33,3.33
28,108,"Dwight Howard, C",HOU,41,29.8,-0.12,2.08,1.96,3.32
29,109,"Victor Oladipo, SG",ORL,72,35.7,1.28,-1.59,-0.31,3.29
30,110,"Tyler Zeller, C",BOS,82,21.1,-0.78,1.36,0.58,3.25
31,111,"Paul Pierce, SF",WSH,73,26.2,0.05,0.25,0.30,3.13
32,112,"Donatas Motiejunas, PF",HOU,71,28.7,-1.04,1.13,0.09,3.13
33,113,"Avery Bradley, SG",BOS,77,31.5,-1.07,0.73,-0.34,3.13
34,114,"Derrick Rose, PG",CHI,51,30.0,1.15,-0.26,0.89,3.10
35,115,"Tyler Hansbrough, PF",TOR,74,14.3,0.67,1.79,2.46,3.08
36,116,"Nene Hilario, C",WSH,67,25.3,-2.31,2.91,0.60,3.04
37,117,"Luis Scola, PF",IND,81,20.5,-0.30,0.87,0.57,3.03
38,118,"Otto Porter Jr., SF",WSH,74,19.4,1.82,-0.59,1.23,3.03
39,119,"Robin Lopez, C",POR,59,27.8,-1.21,1.74,0.53,2.94
40,120,"Thabo Sefolosha, SF",ATL,52,18.8,-0.37,2.97,2.60,2.94
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,121,"Boris Diaw, C",SA,81,24.5,-0.20,0.26,0.06,2.93
2,122,"Lavoy Allen, PF",IND,63,17.0,0.42,1.62,2.04,2.88
3,123,"Cory Joseph, PG",SA,79,18.3,-0.05,0.93,0.88,2.83
4,124,"Chris Bosh, PF",MIA,44,35.4,0.72,-0.04,0.68,2.82
5,125,"DeMar DeRozan, SG",TOR,60,35.0,0.21,-0.39,-0.18,2.81
6,126,"Josh Smith, PF",DET/HOU,83,27.7,-1.84,1.39,-0.45,2.80
7,127,"Roy Hibbert, C",IND,76,25.3,-2.44,2.43,-0.01,2.73
8,128,"David West, PF",IND,66,28.7,-1.06,1.00,-0.06,2.68
9,129,"Jason Terry, SG",HOU,77,21.3,-0.19,0.36,0.17,2.65
10,130,"J.J. Barea, PG",DAL,77,17.7,2.71,-1.93,0.78,2.64
11,131,"Darrell Arthur, PF",DEN,58,17.0,-2.08,3.91,1.83,2.63
12,132,"Brandon Jennings, PG",DET,41,28.6,2.64,-1.41,1.23,2.62
13,133,"PJ Tucker, SF",PHX,78,30.6,-1.22,0.60,-0.62,2.60
14,134,"Kosta Koufos, C",MEM,81,16.6,-2.56,3.30,0.74,2.56
15,135,"Nick Collison, F",OKC,66,16.7,-0.83,2.13,1.30,2.54
16,136,"C.J. Watson, PG",IND,57,24.9,0.72,-0.35,0.37,2.42
17,137,"Dwyane Wade, SG",MIA,62,31.8,1.61,-1.95,-0.34,2.41
18,138,"Pero Antic, PF",ATL,63,16.5,-0.12,1.46,1.34,2.35
19,139,"Rodney Stuckey, PG",IND,71,26.4,-0.19,-0.15,-0.34,2.31
20,140,"CJ McCollum, SG",POR,62,15.7,0.46,0.89,1.35,2.26
21,141,"Ricky Rubio, PG",MIN,22,31.5,0.38,2.33,2.71,2.25
22,142,"Brook Lopez, C",BKN,72,29.2,-0.76,0.16,-0.60,2.22
23,143,"Gorgui Dieng, C",MIN,73,30.0,-1.42,0.68,-0.74,2.20
24,144,"Wayne Ellington, SG",LAL,65,25.8,-0.69,0.53,-0.16,2.20
25,145,"Nick Calathes, SG",MEM,58,14.4,-1.86,3.73,1.87,2.17
26,146,"Jonas Valanciunas, C",TOR,80,26.2,-1.71,1.03,-0.68,2.17
27,147,"Wesley Johnson, SF",LAL,76,29.5,-0.20,-0.60,-0.80,2.12
28,148,"Hassan Whiteside, C",MIA,48,23.8,-0.96,1.64,0.68,2.10
29,149,"Elijah Millsap, SG",UTAH,47,19.7,-1.99,3.42,1.43,2.10
30,150,"Courtney Lee, SG",MEM,77,30.6,0.23,-1.14,-0.91,2.05
31,151,"Mo Williams, PG",MIN/CHA,68,29.1,1.02,-1.74,-0.72,2.02
32,152,"Jae Crowder, PF",BOS/DAL,82,20.1,0.63,-1.07,-0.44,1.99
33,153,"Kevin Garnett, PF",MIN/BKN,47,20.3,-1.42,2.32,0.90,1.87
34,154,"Brandan Wright, F",BOS/DAL/PHX,75,19.3,-0.49,0.16,-0.33,1.84
35,155,"Mason Plumlee, C",BKN,82,21.3,-0.32,-0.29,-0.61,1.82
36,156,"Ronnie Price, PG",LAL,43,22.8,0.17,0.39,0.56,1.78
37,157,"Shaun Livingston, PG",GS,78,18.8,-1.27,0.83,-0.44,1.77
38,158,"Al Jefferson, C",CHA,65,30.6,-1.47,0.56,-0.91,1.75
39,159,"Aron Baynes, C",SA,70,16.0,-1.13,1.25,0.12,1.75
40,160,"Marcus Morris, PF",PHX,81,25.2,0.87,-1.91,-1.04,1.70
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,161,"Kemba Walker, PG",CHA,62,34.2,0.97,-2.00,-1.03,1.69
2,162,"Patty Mills, PG",SA,51,15.7,0.53,0.43,0.96,1.67
3,163,"Mario Chalmers, PG",MIA,80,29.6,-1.65,0.45,-1.20,1.65
4,164,"Alex Len, C",PHX,69,22.0,-2.90,2.16,-0.74,1.59
5,165,"Tony Snell, SG",CHI,72,19.6,-0.29,-0.30,-0.59,1.53
6,166,"Lou Amundson, PF",CLE/NY,53,17.7,-2.57,2.91,0.34,1.53
7,167,"Evan Fournier, SG",ORL,58,28.6,0.48,-1.35,-0.87,1.52
8,168,"Chris Andersen, PF",MIA,60,18.9,-2.08,1.94,-0.14,1.51
9,169,"Dante Cunningham, SF",NO,66,25.0,-1.37,0.54,-0.83,1.49
10,170,"Nikola Pekovic, C",MIN,31,26.3,-0.43,0.99,0.56,1.49
11,171,"Aaron Brooks, PG",CHI,82,23.0,1.25,-2.33,-1.08,1.46
12,172,"Matthew Dellavedova, PG",CLE,67,20.6,-0.52,-0.08,-0.60,1.44
13,173,"Omer Asik, C",NO,76,26.1,-3.01,1.83,-1.18,1.41
14,174,"Steve Blake, PG",POR,81,18.9,-0.12,-0.74,-0.86,1.41
15,175,"Evan Turner, SF",BOS,82,27.6,-1.09,-0.28,-1.37,1.39
16,176,"David Lee, PF",GS,49,18.4,0.40,-0.35,0.05,1.39
17,177,"Richard Jefferson, SF",DAL,74,16.8,-0.45,-0.16,-0.61,1.38
18,178,"Ed Davis, PF",LAL,79,23.3,-0.26,-0.89,-1.15,1.35
19,179,"James Ennis III, SF",MIA,62,17.0,0.11,-0.36,-0.25,1.31
20,180,"Steven Adams, C",OKC,70,25.3,-2.72,1.54,-1.18,1.30
21,181,"Andrew Wiggins, SF",MIN,82,36.2,0.47,-2.13,-1.66,1.28
22,182,"Alexis Ajinca, C",NO,68,14.1,-1.01,0.90,-0.11,1.27
23,183,"Langston Galloway, SG",NY,45,32.4,-0.45,-0.47,-0.92,1.27
24,184,"Nerlens Noel, C",PHI,75,30.8,-4.85,3.35,-1.50,1.24
25,185,"Rodney Hood, SG",UTAH,50,21.3,-0.48,0.07,-0.41,1.22
26,186,"Luc Mbah a Moute, PF",PHI,67,28.6,-3.12,1.78,-1.34,1.21
27,187,"Pablo Prigioni, PG",HOU/NY,67,17.9,-0.42,-0.30,-0.72,1.20
28,188,"Eric Gordon, SG",NO,61,33.1,0.48,-1.88,-1.40,1.17
29,189,"Meyers Leonard, C",POR,55,15.4,-1.88,1.71,-0.17,1.16
30,190,"Trevor Booker, PF",UTAH,79,19.8,0.39,-1.51,-1.12,1.14
31,191,"Ian Mahinmi, C",IND,61,18.8,-3.22,2.47,-0.75,1.13
32,192,"Brandon Bass, PF",BOS,82,23.5,-1.21,-0.21,-1.42,1.13
33,193,"Channing Frye, PF",ORL,75,24.9,-1.28,-0.12,-1.40,1.11
34,194,"Terrence Jones, PF",HOU,33,26.9,-1.17,0.80,-0.37,1.11
35,195,"Corey Brewer, SF",HOU/MIN,80,26.1,-0.31,-1.24,-1.55,1.10
36,196,"Taj Gibson, PF",CHI,62,27.3,-1.72,0.39,-1.33,1.05
37,197,"O.J. Mayo, SG",MIL,71,23.9,-0.71,-0.66,-1.37,1.05
38,198,"Drew Gooden, PF",WSH,51,16.9,-0.29,-0.07,-0.36,1.03
39,199,"Bismack Biyombo, C",CHA,64,19.4,-2.57,1.58,-0.99,1.02
40,200,"Ersan Ilyasova, PF",MIL,58,22.7,1.34,-2.45,-1.11,1.02
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,201,"Mike Muscala, PF",ATL,40,12.6,-0.10,0.92,0.82,0.98
2,202,"Dorell Wright, SF",POR,48,12.4,0.43,-0.16,0.27,0.96
3,203,"Jerami Grant, SF",PHI,65,21.2,-2.40,1.12,-1.28,0.94
4,204,"Robert Sacre, C",LAL,67,16.9,-2.61,1.59,-1.02,0.93
5,205,"Dewayne Dedmon, C",ORL,59,14.3,-2.79,2.20,-0.59,0.92
6,206,"Amar'e Stoudemire, C",DAL/NY,59,21.1,-0.05,-1.12,-1.17,0.88
7,207,"Cory Jefferson, PF",BKN,50,10.6,-1.23,1.53,0.30,0.86
8,208,"Patrick Beverley, PG",HOU,56,30.8,-1.27,-0.30,-1.57,0.85
9,209,"Joel Anthony, PF",DET,49,8.3,-1.82,2.68,0.86,0.80
10,210,"Devin Harris, PG",DAL,76,22.2,0.24,-1.84,-1.60,0.79
11,211,"Nikola Vucevic, C",ORL,74,34.2,-1.48,-0.37,-1.85,0.79
12,212,"Mitch McGary, PF",OKC,32,15.2,-0.25,0.35,0.10,0.78
13,213,"Quincy Pondexter, SG",NO/MEM,75,23.9,-1.10,-0.54,-1.64,0.77
14,214,"Joel Freeland, C",POR,48,12.9,-1.81,1.47,-0.34,0.77
15,215,"Marreese Speights, PF",GS,76,15.9,0.02,-1.47,-1.45,0.72
16,216,"Vince Carter, SG",MEM,66,16.5,-0.81,-0.49,-1.30,0.70
17,217,"Kyle O'Quinn, C",ORL,51,16.2,-2.82,1.82,-1.00,0.69
18,218,"Larry Sanders, PF",MIL,27,21.7,-3.42,2.90,-0.52,0.69
19,219,"Sergey Karasev, SG",BKN,33,16.8,-0.66,0.30,-0.36,0.69
20,220,"Hedo Turkoglu, SF",LAC,62,11.4,-0.04,-0.76,-0.80,0.68
21,221,"Jason Thompson, PF",SAC,81,24.6,-2.08,0.27,-1.81,0.67
22,222,"Will Barton, SF",DEN/POR,58,16.9,-1.62,0.34,-1.28,0.67
23,223,"Ryan Anderson, PF",NO,61,27.5,2.05,-3.75,-1.70,0.66
24,224,"Shabazz Napier, PG",MIA,51,19.8,-1.67,0.37,-1.30,0.63
25,225,"Dante Exum, PG",UTAH,82,22.2,-1.64,-0.13,-1.77,0.62
26,226,"Josh McRoberts, PF",MIA,17,17.4,-0.37,1.24,0.87,0.56
27,227,"Reggie Evans, C",SAC,47,16.3,-1.07,-0.09,-1.16,0.55
28,228,"Andre Miller, PG",SAC/WSH,81,15.5,0.51,-2.13,-1.62,0.55
29,229,"Omri Casspi, F",SAC,67,21.1,-0.02,-1.74,-1.76,0.54
30,230,"Joey Dorsey, PF",HOU,69,12.4,-2.42,1.03,-1.39,0.53
31,231,"Spencer Hawes, PF",LAC,73,17.5,-2.60,0.91,-1.69,0.52
32,232,"Jeremy Evans, F",UTAH,38,7.0,0.17,0.72,0.89,0.51
33,233,"Kendall Marshall, PG",MIL,28,14.9,0.49,-0.91,-0.42,0.50
34,234,"Wilson Chandler, SF",DEN,78,31.7,-0.64,-1.40,-2.04,0.49
35,235,"Garrett Temple, SF",WSH,52,14.2,-2.23,0.96,-1.27,0.48
36,236,"Miles Plumlee, C",MIL/PHX,73,16.4,-2.01,0.28,-1.73,0.46
37,237,"Solomon Hill, SF",IND,82,29.0,-0.68,-1.36,-2.04,0.45
38,238,"Nick Young, SG",LAL,42,23.8,0.07,-1.70,-1.63,0.45
39,239,"Terrence Ross, SG",TOR,82,25.5,1.76,-3.77,-2.01,0.43
40,240,"Mirza Teletovic, PF",BKN,40,22.3,-2.50,0.95,-1.55,0.43
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,241,"Caron Butler, SF",DET,78,20.8,-1.69,-0.23,-1.92,0.42
2,242,"Leandro Barbosa, SG",GS,66,14.9,0.13,-1.82,-1.69,0.42
3,243,"Glen Davis, PF",LAC,74,12.2,-3.76,2.12,-1.64,0.40
4,244,"Elton Brand, PF",ATL,36,13.5,-1.93,0.81,-1.12,0.37
5,245,"Chuck Hayes, PF",TOR,29,8.8,-0.33,0.08,-0.25,0.33
6,246,"Jeff Adrien, SF",MIN,17,12.6,-0.48,0.67,0.19,0.32
7,247,"Ryan Hollins, C",SAC,46,9.6,-1.98,0.77,-1.21,0.32
8,248,"Luigi Datome, SF",BOS/DET,21,10.0,-0.18,0.18,0.00,0.30
9,249,"Tarik Black, PF",HOU/LAL,63,19.0,-1.67,-0.28,-1.95,0.29
10,250,"Beno Udrih, PG",MEM,79,18.9,0.24,-2.28,-2.04,0.28
11,251,"Justin Holiday, SG",GS,59,11.1,-1.48,-0.23,-1.71,0.27
12,252,"Festus Ezeli, C",GS,46,11.0,-2.14,0.57,-1.57,0.25
13,253,"Shabazz Muhammad, SG",MIN,38,22.8,0.61,-2.54,-1.93,0.23
14,254,"Greg Smith, PF",DAL,42,8.6,-3.43,2.10,-1.33,0.23
15,255,"Maurice Harkless, SF",ORL,45,15.0,-2.50,0.66,-1.84,0.22
16,256,"Glenn Robinson III, SG",MIN/PHI,35,7.5,0.19,-1.28,-1.09,0.21
17,257,"Jordan Adams, SG",MEM,30,8.3,-0.62,-0.61,-1.23,0.17
18,258,"Jason Richardson, SG",PHI,19,21.9,-1.20,-0.51,-1.71,0.17
19,259,"James Michael McAdoo, SF",GS,15,9.1,0.00,-0.58,-0.58,0.15
20,260,"Kobe Bryant, SF",LAL,35,34.5,0.91,-3.06,-2.15,0.15
21,261,"Gerald Wallace, SF",BOS,32,8.9,-0.86,-0.66,-1.52,0.15
22,262,"Quincy Miller, SF",DET/SAC,10,11.9,-1.00,0.43,-0.57,0.14
23,263,"Nazr Mohammed, C",CHI,23,5.6,-0.89,0.34,-0.55,0.14
24,264,"Jeff Withey, C",NO,37,7.0,-0.83,-0.70,-1.53,0.13
25,265,"Dwight Powell, C",BOS/DAL,29,8.1,-1.01,-0.51,-1.52,0.13
26,266,"Jarnell Stokes, PF",MEM,19,6.6,-1.56,0.76,-0.80,0.12
27,267,"Ekpe Udoh, C",LAC,33,3.9,-1.23,0.30,-0.93,0.12
28,268,"Michael Carter-Williams, PG",MIL/PHI,66,32.6,-3.05,0.78,-2.27,0.11
29,269,"Shelvin Mack, PG",ATL,55,15.1,-0.18,-2.00,-2.18,0.09
30,270,"Victor Claver, PF",POR,10,7.6,-0.66,0.07,-0.59,0.08
31,271,"Shayne Whittington, PF",IND,20,5.4,-0.32,-0.79,-1.11,0.08
32,272,"Tim Frazier, PG",PHI/POR,11,21.7,-0.64,-0.93,-1.57,0.08
33,273,"Jack Cooley, PF",UTAH,16,5.4,-1.67,0.66,-1.01,0.08
34,274,"Jamal Crawford, SG",LAC,64,26.6,2.10,-4.38,-2.28,0.08
35,275,"Mike Scott, PF",ATL,68,16.5,-0.80,-1.44,-2.24,0.08
36,276,"Michael Beasley, SF",MIA,24,21.0,-3.13,0.99,-2.14,0.07
37,277,"Devyn Marble, SF",ORL,16,13.0,-1.62,-0.29,-1.91,0.06
38,278,"Kenyon Martin, PF",MIL,11,9.5,-1.27,-0.21,-1.48,0.06
39,279,"Elliot Williams, SG",NO/UTAH,13,9.2,0.53,-0.82,-0.29,0.05
40,280,"Clint Capela, C",HOU,12,7.5,-1.97,0.49,-1.48,0.05
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,281,"Cartier Martin, PF",DET,23,8.6,-1.52,-0.42,-1.94,0.05
2,282,"Paul George, SF",IND,6,15.2,-0.73,-0.71,-1.44,0.05
3,283,"Ognjen Kuzmic, C",GS,16,4.5,-1.81,0.33,-1.48,0.04
4,284,"Lester Hudson, SG",LAC,5,11.2,-0.22,-0.93,-1.15,0.04
5,285,"Reggie Bullock, SG",LAC/PHX,36,9.4,-2.21,0.05,-2.16,0.04
6,286,"Xavier Henry, SG",LAL,9,9.6,-0.33,-1.19,-1.52,0.04
7,287,"Sean Kilpatrick, SG",MIN,4,18.0,-0.66,-0.89,-1.55,0.04
8,288,"Jared Cunningham, SG",LAC,19,4.7,-1.03,-0.72,-1.75,0.04
9,289,"John Jenkins, SG",ATL,24,12.4,-1.63,-0.54,-2.17,0.03
10,290,"Toney Douglas, PG",NO,12,14.8,0.16,-1.70,-1.54,0.03
11,291,"Jannero Pargo, PG",CHA,9,8.1,0.13,-1.79,-1.66,0.03
12,292,"Miroslav Raduljica, C",MIN,5,4.6,-0.80,0.38,-0.42,0.03
13,293,"Jordan Hamilton, SG",LAC,14,8.7,-0.77,-1.22,-1.99,0.03
14,294,"Shawne Williams, SF",DET/MIA,63,17.3,-0.64,-1.67,-2.31,0.03
15,295,"Ronny Turiaf, C",MIN,2,9.5,-1.28,0.16,-1.12,0.02
16,296,"Russ Smith, PG",NO/MEM,12,5.4,-1.03,-0.85,-1.88,0.02
17,297,"Greg Stiemsma, C",TOR,17,3.9,-1.24,-0.65,-1.89,0.02
18,298,"Lucas Nogueira, C",TOR,6,3.8,-0.92,-0.35,-1.27,0.02
19,299,"Alex Kirk, C",CLE,5,2.8,-0.98,0.09,-0.89,0.01
20,300,"Alexey Shved, PG",HOU/NY/PHI,42,18.3,0.63,-2.96,-2.33,0.01
21,301,"Cameron Bairstow, PF",CHI,18,3.6,-1.41,-0.77,-2.18,0.01
22,302,"Tyrus Thomas, PF",MEM,2,3.5,-0.42,-0.46,-0.88,0.01
23,303,"Andre Dawkins, SG",MIA,4,5.5,-0.92,-0.99,-1.91,0.01
24,304,"Sim Bhullar, C",SAC,3,1.0,-0.31,0.46,0.15,0.00
25,305,"Julius Randle, PF",LAL,1,14.0,-1.52,-0.19,-1.71,0.00
26,306,"Glen Rice Jr., SG",WSH,5,8.6,-0.96,-1.25,-2.21,0.00
27,307,"David Wear, PF",SAC,2,3.5,-0.93,-0.69,-1.62,0.00
28,308,"Jerrelle Benimon, PF",UTAH,2,1.5,-1.17,0.21,-0.96,0.00
29,309,"Tyler Johnson, SG",MIA,32,18.8,0.44,-1.17,-0.73,0.00
