,0,1,2,3,4,5,6,7,8
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,1,"James Harden, PG",HOU,81,36.8,8.66,-0.16,8.50,20.63
2,2,"Stephen Curry, PG",GS,80,32.7,7.43,1.91,9.34,20.07
3,3,"LeBron James, SF",CLE,69,36.1,6.02,2.76,8.78,17.03
4,4,"Chris Paul, PG",LAC,82,34.8,6.45,0.47,6.92,16.75
5,5,"Anthony Davis, PF",NO,68,36.1,3.98,4.20,8.18,15.86
6,6,"Draymond Green, PF",GS,79,31.5,1.57,5.23,6.80,14.80
7,7,"Russell Westbrook, PG",OKC,67,34.4,7.79,-0.71,7.08,14.15
8,8,"Kawhi Leonard, SF",SA,64,31.8,2.98,4.59,7.57,12.67
9,9,"Khris Middleton, SF",MIL,79,30.1,1.97,4.09,6.06,12.42
10,10,"DeAndre Jordan, C",LAC,82,34.4,2.03,2.43,4.46,12.08
11,11,"John Wall, PG",WSH,79,35.9,2.57,1.73,4.30,11.63
12,12,"Kyle Korver, SG",ATL,75,32.2,4.08,1.34,5.42,11.59
13,13,"Damian Lillard, PG",POR,82,35.7,4.14,-0.37,3.77,11.15
14,14,"Paul Millsap, PF",ATL,73,32.7,2.87,2.22,5.09,11.01
15,15,"Danny Green, SG",SA,81,28.5,3.25,2.16,5.41,11.00
16,16,"DeMarcus Cousins, C",SAC,59,34.1,1.41,4.71,6.12,10.86
17,17,"Gordon Hayward, SF",UTAH,76,34.4,3.30,1.19,4.49,10.81
18,18,"Eric Bledsoe, PG",PHX,81,34.6,1.61,1.85,3.46,10.38
19,19,"Tim Duncan, C",SA,77,28.9,0.53,4.67,5.20,10.33
20,20,"Jimmy Butler, SG",CHI,65,38.7,3.87,0.43,4.30,10.31
21,21,"Tyson Chandler, C",DAL,75,30.5,1.04,3.54,4.58,9.99
22,22,"LaMarcus Aldridge, PF",POR,71,35.4,3.70,0.36,4.06,9.95
23,23,"Kyrie Irving, PG",CLE,75,36.4,4.29,-0.89,3.40,9.74
24,24,"Marc Gasol, C",MEM,81,33.2,1.70,1.91,3.61,9.68
25,25,"Klay Thompson, SG",GS,77,31.9,4.36,-0.72,3.64,9.60
26,26,"Zach Randolph, PF",MEM,71,32.5,1.84,2.71,4.55,9.58
27,27,"Markieff Morris, PF",PHX,82,31.5,0.40,3.03,3.43,9.49
28,28,"Kyle Lowry, PG",TOR,70,34.5,2.58,1.25,3.83,9.28
29,29,"Tyreke Evans, SG",NO,79,34.1,3.80,-0.65,3.15,9.02
30,30,"Blake Griffin, PF",LAC,67,35.2,2.97,0.38,3.35,8.46
31,31,"Luol Deng, SF",MIA,72,33.6,3.70,-0.33,3.37,8.41
32,32,"Matt Barnes, SF",LAC,76,29.9,1.34,1.83,3.17,7.94
33,33,"Kevin Love, C",CLE,75,33.8,1.75,0.96,2.71,7.92
34,34,"Derrick Favors, PF",UTAH,74,30.8,1.22,2.18,3.40,7.84
35,35,"Serge Ibaka, PF",OKC,64,33.1,-0.05,3.51,3.46,7.75
36,36,"Pau Gasol, C",CHI,78,34.4,0.85,1.45,2.30,7.71
37,37,"Zaza Pachulia, C",MIL,73,23.7,1.38,3.42,4.80,7.66
38,38,"Wesley Matthews, SG",POR,60,33.7,1.38,2.27,3.65,7.55
39,39,"Monta Ellis, SG",DAL,80,33.7,1.81,0.11,1.92,7.38
40,40,"Trevor Ariza, SF",HOU,82,35.7,-0.78,2.36,1.58,7.28
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,41,"Marcin Gortat, C",WSH,82,29.9,-0.10,2.56,2.46,7.28
2,42,"Tony Allen, SG",MEM,63,26.2,-0.11,4.92,4.81,7.23
3,43,"Elfrid Payton, PG",ORL,82,30.4,1.23,0.87,2.10,6.95
4,44,"Chandler Parsons, SF",DAL,66,33.1,2.47,0.07,2.54,6.79
5,45,"Ty Lawson, PG",DEN,75,35.5,3.96,-2.36,1.60,6.75
6,46,"Timofey Mozgov, C",CLE/DEN,81,25.3,-0.57,3.43,2.86,6.68
7,47,"Greg Monroe, C",DET,69,31.0,0.37,2.28,2.65,6.49
8,48,"Mike Dunleavy, SG",CHI,63,29.2,1.18,2.15,3.33,6.38
9,49,"Al Horford, PF",ATL,76,30.5,0.32,1.82,2.14,6.34
10,50,"Bradley Beal, SG",WSH,63,33.4,1.93,0.55,2.48,6.13
11,51,"Cody Zeller, C",CHA,62,24.0,1.12,3.23,4.35,6.08
12,52,"Lou Williams, SG",TOR,80,25.2,4.49,-1.97,2.52,6.02
13,53,"Mike Conley, PG",MEM,70,31.8,2.36,-0.25,2.11,5.99
14,54,"Kenneth Faried, PF",DEN,75,27.8,1.90,0.25,2.15,5.96
15,55,"Nikola Mirotic, PF",CHI,82,20.2,1.75,1.75,3.50,5.92
16,56,"Anthony Morrow, SG",OKC,74,24.4,2.33,0.43,2.76,5.89
17,57,"Jeff Teague, PG",ATL,73,30.5,0.92,0.95,1.87,5.88
18,58,"Kentavious Caldwell-Pope, SG",DET,82,31.5,1.66,-0.37,1.29,5.78
19,59,"JJ Redick, SG",LAC,78,30.9,1.14,0.26,1.40,5.72
20,60,"Andrew Bogut, C",GS,67,23.6,-1.81,4.97,3.16,5.58
21,61,"Rudy Gobert, C",UTAH,82,26.3,-1.66,3.63,1.97,5.54
22,62,"Deron Williams, PG",BKN,68,31.1,2.36,-0.45,1.91,5.51
23,63,"Manu Ginobili, SG",SA,70,22.7,1.53,1.75,3.28,5.51
24,64,"Ben McLemore, SG",SAC,82,32.6,0.20,0.71,0.91,5.51
25,65,"Robert Covington, SF",PHI,70,27.9,2.08,0.02,2.10,5.48
26,66,"Joe Johnson, SG",BKN,80,34.9,2.11,-1.24,0.87,5.41
27,67,"Thaddeus Young, PF",MIN/BKN,76,32.0,0.05,1.15,1.20,5.38
28,68,"Kelly Olynyk, PF",BOS,64,22.3,1.79,1.71,3.50,5.27
29,69,"Marcus Smart, PG",BOS,67,27.0,1.17,1.05,2.22,5.21
30,70,"Amir Johnson, C",TOR,75,26.4,0.51,1.32,1.83,5.09
31,71,"Michael Kidd-Gilchrist, SF",CHA,55,28.9,-0.82,3.63,2.81,5.07
32,72,"Giannis Antetokounmpo, PF",MIL,81,31.4,-0.63,1.50,0.87,5.04
33,73,"Jared Dudley, SF",MIL,72,23.8,-0.10,2.47,2.37,5.04
34,74,"Reggie Jackson, PG",DET/OKC,77,29.5,2.28,-1.10,1.18,4.93
35,75,"Andre Iguodala, SF",GS,77,26.9,0.37,0.99,1.36,4.88
36,76,"George Hill, PG",IND,43,29.5,4.64,-0.87,3.77,4.76
37,77,"Andre Drummond, C",DET,82,30.5,-0.07,0.81,0.74,4.75
38,78,"Jeremy Lin, PG",LAL,74,25.8,1.39,0.27,1.66,4.75
39,79,"CJ Miles, SF",IND,70,26.3,0.41,1.17,1.58,4.54
40,80,"Jrue Holiday, PG",NO,40,32.6,2.45,0.77,3.22,4.52
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,81,"Carmelo Anthony, PF",NY,40,35.7,4.90,-2.08,2.82,4.37
2,82,"Harrison Barnes, SF",GS,82,28.3,-0.68,1.23,0.55,4.37
3,83,"Joakim Noah, C",CHI,67,30.6,-1.12,2.21,1.09,4.33
4,84,"Al-Farouq Aminu, PF",DAL,74,18.5,-0.26,2.93,2.67,4.32
5,85,"Iman Shumpert, SG",CLE/NY,62,24.9,0.33,1.92,2.25,4.25
6,86,"Tristan Thompson, C",CLE,82,26.8,1.34,-0.48,0.86,4.25
7,87,"Dirk Nowitzki, C",DAL,77,29.6,2.51,-1.89,0.62,4.22
8,88,"Rudy Gay, SF",SAC,68,35.4,2.87,-2.46,0.41,4.20
9,89,"Isaiah Thomas, PG",BOS/PHX,67,25.8,4.14,-2.69,1.45,4.16
10,90,"Darren Collison, PG",SAC,45,34.8,1.53,0.26,1.79,4.12
11,91,"Nicolas Batum, SG",POR,71,33.5,0.26,0.12,0.38,4.08
12,92,"Jared Sullinger, C",BOS,58,27.0,1.51,0.15,1.66,3.97
13,93,"Alan Anderson, SG",BKN,74,23.6,-0.91,2.21,1.30,3.94
14,94,"Danilo Gallinari, SF",DEN,59,24.2,2.05,-0.07,1.98,3.90
15,95,"Kevin Durant, SF",OKC,27,33.8,3.53,0.67,4.20,3.87
16,96,"Gerald Henderson, SG",CHA,80,28.9,-0.65,1.01,0.36,3.84
17,97,"Anthony Tolliver, PF",DET/PHX,76,18.8,2.09,-0.14,1.95,3.80
18,98,"DeMarre Carroll, SF",ATL,70,31.3,0.79,-0.38,0.41,3.75
19,99,"Jonas Jerebko, PF",BOS/DET,75,16.4,0.95,1.65,2.60,3.72
20,100,"James Johnson, PF",TOR,70,19.6,0.33,1.66,1.99,3.66
21,101,"JR Smith, SG",CLE/NY,70,29.7,1.02,-0.54,0.48,3.62
22,102,"Andre Roberson, SG",OKC,67,19.2,-1.30,3.30,2.00,3.61
23,103,"Tiago Splitter, C",SA,52,19.8,0.59,2.70,3.29,3.58
